								
#station_barter								
Id	CorpProduceItems	CorpAdditionalConsumeItems	CivResProduceItems	CivResAdditionalConsumeItems	QuasiProduceItems	QuasiAdditionalConsumeItems	PiratesProduceItems	PiratesAdditionalConsumeItems
EStation	other_industry_1 other_industry_6 fire_prod_mark_1 prod_devices_5	military_food_container mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	other_industry_6 resistant_prod_2 fire_prod_mark_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	other_industry_1 fire_prod_mark_1 prod_devices_5	military_food_container mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
Purgatory	other_industry_2 other_industry_3 other_industry_4 other_industry_1 fire_prod_shotg_2	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	other_industry_4 other_industry_1 resistant_prod_2 fire_prod_shotg_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	other_industry_2 other_industry_3 fire_prod_shotg_2	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB
Edge	spy_action_5 spy_action_3 spy_action_4 capital_asset_1 fire_prod_pist_1	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	spy_action_3 resistant_prod_2 fire_prod_pist_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	spy_action_4 spy_action_5 fire_prod_pist_1	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
Blade	power_action_4 power_action_2 other_industry_7	miner_clothing_container worker_clothing_container scientist_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_5 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	power_action_2 other_industry_7	miner_clothing_container worker_clothing_container scientist_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB
SampoQuern	food_industry_1 food_industry_2 food_industry_3 food_industry_4 food_prod_2 food_prod_4	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_industry_1 food_industry_2 food_industry_3 food_industry_4 resistant_prod_2 food_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_industry_3 food_industry_4 food_prod_2 food_prod_3 food_prod_5	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
VenusTwo	food_mining_4 food_mining_2 transit_6 food_prod_3	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_mining_4 food_mining_2 resistant_prod_2 food_prod_3	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_mining_4	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
PromisedLand	food_mining_1 food_mining_2 fire_prod_pist_2	ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_mining_1 food_mining_2 resistant_prod_2 fire_prod_pist_2 food_prod_4	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_mining_2 fire_prod_pist_2	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
HeritageStation	spy_mining_1 spy_mining_2 spy_mining_3 capital_asset_1 melee_prod_3	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	spy_mining_2 spy_mining_3 resistant_prod_2 melee_prod_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	spy_mining_1 melee_prod_3	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB
ArcadisTerminal	prod_mining_3 capital_asset_1 power_action_3 mil_ammo_depo_3	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_3 resistant_prod_2 mil_ammo_depo_3	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	power_action_3 mil_ammo_depo_3	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
PineGapTraining	power_action_1 power_action_3 power_action_2 capital_asset_1	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_1 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	power_action_2	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
Skylab	science_mining_1 science_mining_2 transit_3 science_devices_6 science_mining_5	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_mining_1 science_mining_2 resistant_prod_2 science_mining_5	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	transit_3 science_devices_6 science_mining_5	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
ISSStation	science_devices_1 science_devices_2 science_devices_3 tech_prod_pist_4 med_prod_1 prod_industry_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_devices_3 science_devices_2 resistant_prod_2 tech_prod_pist_3 med_prod_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_devices_1 tech_prod_pist_3 med_prod_1 prod_industry_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
Akatsuki	science_industry_5 science_industry_6 science_industry_7 science_industry_8 capital_asset_1 med_prod_3	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_industry_7 science_industry_8 power_action_1 resistant_prod_2 med_prod_3	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_industry_5 science_industry_6 power_action_1 med_prod_3	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
Paragon	prod_industry_1 prod_industry_3 prod_industry_4 prod_industry_5 capital_asset_1 armor_prod_4	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_industry_4 prod_industry_5 power_action_2 resistant_prod_2 armor_prod_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_industry_1 prod_industry_3 power_action_2 armor_prod_4	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
Phenomenon	prod_devices_4 prod_devices_5 prod_devices_6 mil_ammo_depo_1	servo_backpack quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_devices_6 resistant_prod_2 mil_ammo_depo_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_devices_4 prod_devices_5 mil_ammo_depo_1	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
SterlingsFarm	food_mining_2 food_mining_3 other_industry_6	ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_mining_2 food_mining_3 resistant_prod_2 food_prod_4	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_mining_3 food_prod_4 other_industry_6	ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
HartsWarehouse	food_industry_1 food_industry_2 food_industry_4 food_prod_1 food_prod_5	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_industry_1 food_industry_2 food_industry_3 food_industry_4 resistant_prod_2 food_prod_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_industry_1 food_industry_2 food_prod_1 food_prod_3 food_prod_5	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
FullersCore	entertaiment_action_2 entertaiment_action_3 entertaiment_action_4 spy_mining_2	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_5 resistant_prod_2 spy_mining_2	armor_repair_kit weapon_repair_kit melee_repair_kit security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	entertaiment_action_2 entertaiment_action_3 entertaiment_action_4 spy_mining_2	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak itemChip mediumItemChip highItemChip merkUSB classUSB
PlatosAcademy	science_mining_3 science_mining_1 spy_action_1 mil_ammo_depo_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_mining_1 spy_action_1 resistant_prod_2 mil_ammo_depo_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_mining_3 spy_action_1 mil_ammo_depo_2	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
AvicennasClinic	science_devices_2 science_devices_3 science_devices_7 med_prod_2 science_devices_4	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_devices_2 science_devices_7 resistant_prod_2 med_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_devices_3 med_prod_2 science_devices_4	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
VanDeGraaff	science_mining_3 science_mining_2 entertaiment_action_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB	science_mining_3 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	science_mining_3 entertaiment_action_1	moon_crossbow mercury_staff moon_heavy_armor moon_armor azt_light_armor azt_heavy_armor venus_armor_shards moon_armor_shards demonic_aye skull_explosion skull_ray skull_contract_mercury skull_bloodstrike skull_bloodlust skull_call_of_blood skull_contract_venus skull_transformation skull_resurrection skull_contract_luna itemChip mediumItemChip highItemChip merkUSB classUSB
ChickMoo	food_industry_1 food_industry_2 food_industry_3 food_prod_2 food_prod_4	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB	food_industry_1 food_industry_2 food_industry_3 resistant_prod_2 food_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	food_industry_3 food_industry_4 food_prod_2 food_prod_3 food_prod_5	worker_clothing_container ai_module scientific_equipment research_disk prototype_schematics precious_metals gunbang_magazine medical_components itemChip mediumItemChip highItemChip merkUSB classUSB
LandscronaCenter	spy_action_5 spy_action_1 spy_action_2 melee_prod_3	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB	spy_action_1 spy_action_2 resistant_prod_2 melee_prod_7	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	spy_action_5 melee_prod_1	miner_clothing_container worker_clothing_container scientist_clothing_container security_clothing_container weapon_container armor_container tool_container geoscanner_device welding_machine_device chemical_analyzer quasiresearch_disk entertainment_software precious_metals itemChip mediumItemChip highItemChip merkUSB classUSB
CenterDefense	military_devices_1 military_devices_2 military_devices_3 military_devices_4 fire_prod_rifl_3	military_food_container mining_equipment construction_equipment entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	military_devices_1 military_devices_2 resistant_prod_2 fire_prod_rifl_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	military_devices_3 military_devices_4 fire_prod_rifl_2	military_food_container mining_equipment construction_equipment entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
ZeroGravity	power_action_1 power_action_4	communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_4 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	power_action_1	military_food_container communication_relay mining_equipment construction_equipment memory_software entertainment_software packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
MTZ	prod_devices_1 prod_devices_2 prod_devices_3 science_industry_4 med_prod_1	servo_backpack quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_devices_2 prod_devices_3 resistant_prod_2 med_prod_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_devices_1 science_industry_4 med_prod_1	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
QiHelium	prod_industry_1 prod_industry_3 prod_industry_4 prod_industry_5 vest_prod_1 armor_prod_5	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_industry_1 prod_industry_4 resistant_prod_2 vest_prod_2 armor_prod_4	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_industry_3 prod_industry_5 vest_prod_2 armor_prod_4	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
AnCapDogma	prod_mining_1 prod_mining_5 prod_mining_2 transit_2 civil_ammo_depo_1 mil_ammo_depo_2	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB	prod_mining_1 prod_mining_5 resistant_prod_2 civil_ammo_depo_1 mil_ammo_depo_2	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	prod_mining_2 civil_ammo_depo_1 mil_ammo_depo_2	servo_backpack electrical_parts_container quasi_sensor_device management_unit darknet_unit military_unit drug_cargo gunbang_magazine itemChip mediumItemChip highItemChip merkUSB classUSB
MoonTradeCenter	entertaiment_action_4 entertaiment_action_5 entertaiment_action_1	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	power_action_5 resistant_prod_2	armor_repair_kit weapon_repair_kit melee_repair_kit security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	entertaiment_action_4 entertaiment_action_5 entertaiment_action_1	morphine rocketCandy caviar wagyu_steak truffle_oil tuna_steak packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
Candle	spy_action_1 spy_action_2 spy_action_3 spy_action_4 entertaiment_action_3 fire_prod_pist_4	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	spy_action_2 spy_action_4 resistant_prod_2 fire_prod_pist_4	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	spy_action_1 spy_action_3 entertaiment_action_3 fire_prod_pist_4	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
AllianceArcology	spy_action_1 spy_action_2 spy_action_3 spy_action_4 science_devices_6 tech_prod_pist_2	miner_clothing_container worker_clothing_container weapon_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB	spy_action_3 spy_action_4 science_devices_6 resistant_prod_2 tech_prod_pist_1	armor_repair_kit weapon_repair_kit melee_repair_kit military_food_container security_clothing_container weapon_container armor_container tool_container itemChip mediumItemChip highItemChip merkUSB classUSB	quasi_prod_2	weapon_container robot_parts_container ai_module quasiresearch_disk research_disk management_unit darknet_unit military_unit memory_software entertainment_software biomass_tank medical_components	spy_action_1 spy_action_2 tech_prod_pist_1	miner_clothing_container worker_clothing_container weapon_container electrical_parts_container ai_module communication_relay quasi_sensor_device geoscanner_device chemical_analyzer hydraulic_pump packaged_recreational_robot itemChip mediumItemChip highItemChip merkUSB classUSB
