ui.dialog.poisontrial_ilhutl_after_defeat	Невозможно. Господин обещал, что…						
ui.dialog.poisontrial_tezctlan_after_defeat	Ты доказал, что в тебе есть умение и достоинство. Дальнейшую судьбу Ильхутля решу я сам.<br><br><color=#FFFEC1>Пакт</color> вечного служения <color=#FFFEC1>Изумрудной Империи</color> уже отправлен на твой корабль. Будешь служить мне верно, и в твоих глазах отразится зеленый блеск. Разочаруешь меня, и ты позавидуешь мертвым.						
ui.dialog.return_ancom_data.RealWare2	Что это? Новые сведения об АнКом? Это всегда интересно. Вы сделали правильный выбор, что принесли данные нам. Нет лучшего арбитра анкап-системы, чем РеалВейр. С вами свяжутся, если понадобятся ваши услуги.						
ui.dialog.covertops_realware_after_ancom_quest	Приветствуем, наемник! Некоторое время назад вы передали нам весьма интересные сведения об <color=#FFFEC1>АнКом</color>. Полагаю, что вы выбрали нас не случайно. <color=#FFFEC1>РеалВейр</color> — единственная корпорация, что стоит на страже интересов <color=#FFFEC1>анкап-системы</color>. Мы ее истинные защитники.<br><br>Оказывается, что АнКом сильно преуспела в квазиморфных исследованиях. По информации с ПКПУ, там речь даже не о десятилетиях исследований. Чтобы так углубиться в квазиморфоз, нужно было начать задолго до <color=#FFFEC1>Великой Анархической Революции</color>. Теперь понятно, почему <color=#FFFEC1>доктор Мэннинг</color> считается гением. У него был очень хороший старт.<br><br>Мы передали вам данные для взлома ПКПУ. Выполните для АнКом <color=#FFFEC1>любую миссию шпионажа</color>, взломайте их устройство, и мы попадем в закрытую сеть. Давайте узнаем, чем является АнКом на самом деле.						
ui.dialog.covertops_realware_after_espionage	Хорошая работа! Взломанный ПКПУ передает нам данные из закрытой сети <color=#FFFEC1>АнКом</color>. Чтобы разобраться в деталях, потребуется несколько месяцев. Но уже сейчас мы видим прямую угрозу порядку в Солнечной Системе. АнКом пытается взломать алгоритм <color=#FFFEC1>боевого ИИ корпорации РеалВейр</color>. <color=#FFFEC1>Нашего</color> боевого ИИ.<br><br>Мы пока не знаем, зачем и как они хотят его использовать, но не можем этого допустить. Аналитический центр АнКом, собирающий сведения об ИИ, расположен на станции <color=#FFFEC1>Цитадель «Надежда Человечества»</color> на астероиде <color=#FFFEC1>Паллада</color>. Предлагаем вам контракт: добраться до дата-центра станции и активировать там <color=#FFFEC1>ЭМИ-Выжигатель</color>. Мы отправили его вам на корабль. Заодно поглядите, как он работает.<br><br>Собственность АнКом не пострадает, а если они попытаются обвинить кого-то в порче данных, то должны будут рассказать, что это были за данные. На это они не пойдут.						
ui.dialog.covertops_jane_on_arrival	Станция очень старая. Большинство уровней соединены между собой лестницами. Лифты могут помочь тебе сократить путь к дата-центру, но, будь уверен, <color=#FFFEC1>АнКом</color> позаботится о выходах из лифта в первую очередь.						
ui.dialog.covertops_ancom_entering_living_stage	На связи АнКом. Требуем немедленно отозвать клона, иначе мы будем вынуждены пойти на <color=#FFFEC1>экстренные меры</color>. Требование повторяться не будет.						
ui.dialog.covertops_ancom_entering_data_center	Внимание персоналу станции! <color=#FFFEC1>Морфопротекция<color=#FFFEC1> отключена. Всем применить антиквазиморфные меры.						
ui.dialog.covertops_jane_entering_data_center	Оказалось, совсем не проще, чем мы думали. Тебе стоит поторопиться!						
ui.dialog.covertops_jane_target_room_no_emp	Стой, у тебя же нет <color=#FFFEC1>ЭМИ-Выжигателя</color>! Без него мы не сможем вывести из строя системы станции. Тебе нужно вернуться и найти устройство, иначе миссия провалится.						
ui.dialog.covertops_jane_target_room	Отлично, ты на месте. Установи <color=#FFFEC1>ЭМИ-Выжигатель</color> рядом с компьютерами.						
ui.dialog.covertops_jane_emp_activated	<color=#FFFEC1>ЭМИ-Выжигатель</color> активирован. Похоже, что все компьютеры на станции теперь — мертвое железо. Если у АнКом не было бэкапов, то мы здорово отбросили их назад. Миссия выполнена. Выбирайся оттуда... и твое оборудование тоже полетело, <color=#FFFEC1>карта недоступна</color>. Идти придется вслепую.						
ui.dialog.raid_sbn_after_ancom_quest	Некоторое время назад вы передали нам <color=#FFFEC1>ПКПУ корпорации АнКом</color>, доверху набитый <color=#FFFEC1>квазиморфными исследованиями</color>. Их изучение помогло закрыть кое-какие пробелы в череде событий, приведших к появлению <color=#FFFEC1>Тецктлана</color>. Давайте на будем пытаться сохранять покерфейс. Мы знаем, что происходит на <color=#FFFEC1>Венере</color> и за ее пределами.<br><br>Поверьте, АнКом несет огромную долю ответственности за происходящее. По сути, они обманывали вас. Поэтому мы обратились к вам. Мы считаем, что вам можно доверить задание против АнКом.<br><br>Вам известен <color=#FFFEC1>доктор Мэннинг</color>? У него была помощница, <color=#FFFEC1>доктор Джендиоза</color>. Нам очень нужно с ней поговорить. После событий на станции <color=#FFFEC1>Францева-7</color> у Сатурна, она прячется в городе <color=#FFFEC1>Шверин</color> на <color=#FFFEC1>Гейсте</color>. Мы не уверены, что наши агенты там справятся, поэтому попросили бы добраться до Джендиозы, убедить доктора пойти с вами и доставить ее к нам.						
ui.dialog.raid_jane_on_arrival	Мы на месте. Пока все спокойно. Найди <color=#FFFEC1>доктора</color> и возвращайся без лишних приключений.						
ui.dialog.raid_unchainedbelt_entering_sector	Хей, хей, народ! Жители Сектора ЛЛ! Я говорю от имени пиратского союза, которому ваш замечательный город предоставляет удобные места для стыковки. Только что в ваш сектор проник один <color=#FFFEC1>таракан</color>. Я отправлю метку на ваши ПКПУ. За <color=#FFFEC1>его убийство</color> я обещаю вам такую награду, что в ближайший год вам о работе думать точно не придется.<br><br>Удачной охоты!						
ui.dialog.raid_jane_entering_sector	Это было сказано по общественной связи станции, я не ослышалась? Окей, работать становится сложнее. Босс, мы не забыли хорошо снарядить исполнителя?						
ui.dialog.raid_doctor_after_meeting	<color=#FFFEC1>Мэннинг</color> предупреждал меня, что рано или поздно вы объявитесь. Я уже собрала вещички, пойдем.						
ui.dialog.raid_jane_doctor_dead	Весь Шверин схватил оружие и движется в твою сторону. Это <color=#FFFEC1>провал</color>, мы улетаем.						
ui.dialog.raid_jane_sbn_arrival	<color=#FFFEC1>Безопасники, наконец, заметили, что у них полстанции на ушах. Они отправили в Сектор ЛЛ оперативников. Сейчас посмотрю приказ... Ага, убивать всех без разбора, превратить сектор в демилитаризованную зону. <color=#FFFEC1>Сматывайся</color> поскорее, <color=#FFFEC1>професорку</color> не забудь.						
ui.dialog.raid_jane_lift_doctor_nearby	Вы добрались. Я снимаю замки с частного дока, пилот уже включил двигатели.						
ui.dialog.raid_jane_lift_no_doctor	Мы не можем осуществить <color=#FFFEC1>эвакуацию без цели</color>. Приведите ее.						
ui.dialog.ghoulship_unchainedbelt_contact	<color=#FFFEC1>Освобожденный Пояс</color> на связи. Примите передачу...<br><br>Я смотрю, вы умеете успешно портить отношения с воротилами корпоративного мира. С тех пор как эта милая зверушка устроила на Венере праздник, вам удалось сделать многое, чтобы в анкап-системе к вам отнеслись с подозрением. Да, мы знаем о Тецктлане. Знаем, что это не фейк. У нас есть глаза и во Внутренней Системе.<br><br>Короче говоря, нам нужен такой подрядчик, как вы. По определенным причинам, мы не хотим начинать прямые действия против корпораций, у которых есть активный интерес в Поясе. В конце-концов, мы вместе делим эти камешки. Не настало еще время ломать хрупкий баланс, но кое-что подкрутить — милое дело. Ваша цель — корпорация <color=#FFFEC1>КорВард ПГ</color>. Вы атакуете и захватите ее <color=#FFFEC1>ТМК «Дятел»</color> на орбите Весты, а затем отправите его на орбиту Интерамнии. Правда, сперва корабль придется заправить. Это не проблема, если вы обеспечите нашим парням доступ к машинному уровню.<br><br>Для вас хорошо оплачиваемая работа, для нас — новый ценный актив. А для Пояса — небольшой рост напряженности вместо полноценной войны. Разве есть повод отказываться от такого контракта?						
							
	Przemawia <color=#FFFEC1>Unchained Belt</color>. Przyjmij transmisję...<br><br>Widzę, że masz talent do psucia relacji z wielkimi korporacjami. Od czasu, gdy to urocze stworzenie zorganizowało imprezę na Wenus, zrobiłeś wiele, aby system ancap patrzył na ciebie podejrzliwie. Tak, wiemy o Tezctlan. Wiemy, że to nie jest fałszywe. Mamy oczy również w Systemie Wewnętrznym.<br><br>W skrócie, potrzebujemy kontraktora takiego jak ty. Z pewnych powodów nie chcemy podejmować bezpośrednich działań przeciwko korporacjom, które mają aktywne interesy w Pasie. W końcu wszyscy dzielimy te skały. Jeszcze nie czas na zaburzenie delikatnej równowagi, ale dobrze jest poprawić kilka rzeczy. Twoim celem jest <color=#FFFEC1>CoreWard MG</color>. Załatwisz ich <color=#FFFEC1>HIS Woodpecker</color> na orbicie Vesty i przeniesiesz na orbitę Interamnii. Oczywiście, najpierw trzeba zatankować statek. To nie problem, jeśli umożliwisz naszym chłopakom dostęp do poziomu silników.<br><br>Dla ciebie – dobrze płatna robota, dla nas – nowy, wartościowy zasób. A dla Pasa – niewielki wzrost napięcia zamiast pełnej wojny. Czy jest jakiś powód, aby odrzucić taki kontrakt?						
ui.dialog.ghoulship_jane_on_arrival	Рядом на относительно небольшой скорости идет грузовик корпорации <color=#FFFEC1>Дильтей</color>. Не знаю, что им надо, но, если они засекут топливный шаттл, они могут передать эту информацию на <color=#FFFEC1>ТМК «Дятел»</color>. Дильтей — те еще добрые самаритяне.						
ui.dialog.ghoulship_jane_cc_no_objectives	Ты можешь зачистить весь корабль, но птичка <color=#FFFEC1>не полетит</color>, пока баки для квантового топлива <color=#FFFEC1>пусты</color>, а в арсенале <color=#FFFEC1>работает</color> система безопасности. Сперва наведи порядок на этих этажах.						
ui.dialog.ghoulship_jane_cc_start_defence	Устрани всех, кто может помешать нам перехватить управление кораблем. После этого уводим птичку в новое гнездышко.						
ui.dialog.ghoulship_jane_cc_cleared	Больше нам ничего не мешает. Курс на <color=#FFFEC1>Интерамнию</color>.						
ui.dialog.ghoulship_jane_arsenal_entering	В арсенале тебе нужно отключить <color=#FFFEC1>систему безопасности</color>. СБ <color=#FFFEC1>КорВард ПГ</color> заблокировали систему управления кораблем. Найди главный компьютер и разберись с ним... как умеешь.						
ui.dialog.ghoulship_jane_arsenal_destroyed	Система безопасности отключена. Управление кораблем разблокировано.						
ui.dialog.ghoulship_jane_machine_entering	Получаю шифрованный сигнал с <color=#FFFEC1>топливного шаттла</color>. Они будут готовы, как только ты доберешься до <color=#FFFEC1>большой комнаты с двигателями и баками</color>.						
ui.dialog.ghoulship_unchainedbelt_fuel_room	Выдвигаемся к топливному шлюзу. Заправка займет какое-то время. Босс просил высказать тебе благодарность за участие в деле <color=#FFFEC1>Освобожденного Пояса</color>, если доживешь до этого этапа. С нами тут несколько ребят, что рвутся в бой. Выкинем их на твоем уровне.						
ui.dialog.ghoulship_jane_fuel_room	Защищайте двигатели, пока идет заправка.						
ui.dialog.ghoulship_jane_fuel_room_before_arsenal	Сперва нужно уничтожить <color=#FFFEC1>компьютер в Арсенале</color>.						
ui.dialog.ghoulship_coreward_dilthey_arrived	Внимание! Сделка по продаже ТМК «Дятел» корпорации <color=#FFFEC1>Дильтей</color> завершена. КорВард ПГ отказывается от ответственности за актив.						
ui.dialog.ghoulship_dilthey_dilthey_arrived	Внимание! Просим всех посторонних покинуть ТМК «Дятел», это частная собственность корпорации <color=#FFFEC1>Дильтей. С грузовоза «Николаус Отто», находящегося неподалеку, на корабль будут доставленны <color=#FFFEC1>оперативники СБ</color> корпорации для обеспечения безопасности актива.						
ui.dialog.ghoulship_unchainedbelt_dilthey_arrived	Нам все равно, как вы собирались выстраивать отношения с <color=#FFFEC1>Дильтей</color>. Контракт должен быть выполнен в любом случае. До конца заправки осталось немного.						
ui.dialog.ghoulship_jane_fuel_is_complete	Пиратский заправщик отстыковался. Пробирайся на командный уровень. Помнишь тот грузовик <color=#FFFEC1>Дильтей, что пролетал мимо? Он высадил целую толпу <color=#FFFEC1>вооруженных специалистов</color>. Удачи.						
ui.dialog.jane_phase_bomb_reminder	Можно сделать фазовую бомбу. В бою сойдет за обычную гранату, но Эйпшвиц сделал ее совсем для другого.						
ui.dialog.control_find_objective	На карте отмечены места объектов, которые тебе необходимо защитить. Иди туда и жди гостей. 						
ui.dialog.control_find_next_objective	Отличная работа. Направляйся к следующему объекту.						
ui.dialog.control_defend_objective	Приготовься к обороне, я засекла вражеские сигнатуры. Не дай уничтожить собственность заказчика.						
ui.dialog.ritual_find_objective	Тебе необходимо спуститься, найти место проведения ритуала и защитить его. Постарайся не разочаровать наших нанимателей. 						
ui.dialog.ritual_defend_objective	Ты почти на месте. Не мешкай, атакующие уже близко.						
ui.dialog.counterattack_find_objective	Ты почти на месте. Тебе нужно как можно скорее найти место проведения ритуала и остановить его!						
ui.dialog.counterattack_remains	Осталось: {0}						
ui.dialog.escort_after_arrival	ВИП ожидает тебя у шаттла. Сопроводи его к отмеченному месту.						
ui.dialog.jane_capsule_called	Эвакуационная капсула отправлена и должна приземлиться где-то поблизости.						
ui.dialog.failed_generation	Ошибка! Не удалось сгенерировать уровень. Пожалуйста, отправьте репорт через главное меню игры.						
ui.dialog.exit_desc	Вы хотите оставить свои обязательства и разорвать контракт ЧВК с заказчиком?						
ui.dialog.slot_delete_desc	Вы потеряете сохранение. Продолжить?						
ui.dialog.no_items_raidstart	Не выбрано снаряжение для оперативника. Вы хотите начать миссию?						
ui.dialog.switch_class_warning	Весь прогресс класса будет утерян. Вы хотите изменить класс оперативника?						
ui.dialog.apply_skull	Пакт с квазиморфом невозможно разорвать обычным способом, он будет действовать даже после смерти оперативника.						
ui.dialog.remove_skull	Пакт с квазиморфом будет разорван, действие нельзя отменить.						
ui.dialog.noultimate	Доступ запрещен. Информация засекречена.						
ui.dialog.mercury_baron_msg	Тебе не следовало приходить сюда. Шартмахум размышляет. Шартмахум ждет. Шартмахум готовится к войне. И ты готовься к вечному плачу во чреве моем, гаввах.						
ui.dialog.venus_baron_msg	Наконец-то! Повелитель, ты слышишь? Я использовал кровь смертных и явился на зов! Я в Икстлане. Смертный, готовься стать частью моей силы!						
ui.dialog.venus_friendly_baron_msg	Просто признай, что твои демоны просто часть тебя. Ты должен принять их как своих друзей.						
ui.dialog.moon_baron_msg	Дуггур... Ты открыл его... Я пришел... Когда я выпью твою силу, пожалуйста, не плачь. Не нужно слез, это напрасная трата забойных страданий.						
ui.dialog.mars_baron_msg	У каждой войны свои демоны. У твоей войны — я!						
ui.dialog.mars_friendly_baron_msg	Славная бойня для славного воина!						
ui.dialog.cattaram_baron_msg	Ты пришел сюда за испытанием? Устроим тебе испытание. Оно продлится до тех пор, пока ты не сломаешься. А ты сломаешься.						
ui.dialog.ron_baron_msg	Ты... зря... потревожил меня... мне снились сны... как они были прекрасны... ты знаешь какова цена моего пробуждения!						
ui.dialog.scrivnus_baron_msg	Ты явился в темницу сам. Тебя не звали. Тебя не ждали. Но все же я приготовил для тебя нечто особенное. Сначала начнется вечная агония, а спустя мгновение — твои вечные мольбы о пощаде.						
ui.dialog.failed_load_game	Ошибка! Не удалось загрузить игру. Код ошибки:						
ui.dialog.failed_save_game_112	Ошибка! Не удалось сохранить игру, нет места на диске. Код ошибки:						
ui.dialog.failed_save_game_generic	Ошибка! Не удалось сохранить игру. Код ошибки:						
ui.dialog.failed_go_next_dungeon	Ошибка! Не удалось загрузить файл уровня. Код ошибки:						
ui.dialog.confirm_magnum_upgrade	Производство {0} потребует эти предметы:						
ui.dialog.station_leave_confirm	На полу остались вещи, вы точно хотите покинуть станцию?						
ui.dialog.confirm_cancelproject	Отменить проект?						
ui.dialog.confirm_canceltraining	Тренировка будет прервана.						
ui.dialog.confirm_cancelproduction	Отменить производство?						
ui.dialog.yes	да						
ui.dialog.no_option	нет						
ui.terminal.caption	инфотерминал						
ui.statue.caption	статуя						
ui.activity.Sleep	в сомнии						
ui.activity.Idle	двигается						
ui.activity.Angry	ищет цель						
ui.activity.Attack	атакует						
ui.activity.Reloading	перезарядка						
ui.activity.Eccolapse	фазирует						
ui.activity.Stasis	фазирует						
ui.activity.StasisOut	фазирует						
ui.actionpoints.pt1	Оч.Медленно (1)						
ui.actionpoints.pt2	Медленно (2)						
ui.actionpoints.pt3	Нормально (3)						
ui.actionpoints.pt4	Быстро (4)						
ui.actionpoints.pt5	Стремительно (5)						
ui.actionpoints.pt6	Молниеносно (6)						
ui.movementtype.slow	Скрытный						
ui.movementtype.normal	Обычный						
ui.movementtype.run	Бег						
ui.starvation.full	полный						
ui.starvation.normal	нормальный						
ui.starvation.hungry	голодный						
ui.painthreshold.normal	нормальный						
ui.painthreshold.painshock	болевой шок						
ui.intro.bubble1	История человечества написана слезами и кровью.						
ui.intro.bubble2	Лжецы, тираны, идеалисты пытались принести людям счастье на острие меча.						
ui.intro.bubble3	Мы ждали освобождения от оков судьбы и были готовы пройти ради этого через Страшный суд.						
ui.intro.bubble4	Не славной гибели за Вечное царство, Любовь или Господа, а способа сойти с дороги страданий.						
ui.intro.bubble5	Но когда Апокалипсис наступил, мы привычно пожали плечами и начали извлекать из него прибыль.						
ui.intro.bubble6	Ждавшие в глубине космоса твари не казались страшнее нашего собственного мира.						
ui.intro.bubble7	Вооружившись надеждой на то, что самый темный час перед рассветом, мы пытаемся дожить до первых лучей Солнца...						
ui.effect.bleed.caption	Кровотечение						
ui.effect.bleed.desc	Кровотечение очень опасно, если не остановить его						
ui.effect.burning.caption	Горение						
ui.effect.burning.desc	Очень горячо и больно						
ui.effect.burning.value	{0} урон						
ui.effect.healthregen.caption	Регенерация						
ui.effect.healthregen.desc	Естественный процесс восстановления организма						
ui.effect.healthregen.value	{0} реген						
ui.effect.stun.caption	Нокаут						
ui.effect.stun.desc	Ого, отсюда видно Рукав Ориона						
ui.effect.stun.value	{0} длительность						
ui.effect.dotactiondmg.caption	Перелом						
ui.effect.dotactiondmg.desc	Действия, выполняемые сломанными конечностями, причиняют чудовищную боль						
ui.effect.dotmovedmg.caption	Перелом						
ui.effect.dotmovedmg.desc	Действия, выполняемые сломанными конечностями, причиняют чудовищную боль						
ui.effect.doteatdmg.caption	Урон от еды						
ui.effect.doteatdmg.desc	Повреждения желудка ведут к получению урона от употребления пищи						
ui.effect.infectionEffect.caption	Заражение						
ui.effect.infectionEffect.desc	Развитие заражения приводит к серьезным заболеваниям						
ui.effect.poisonEffect.caption	Отравление						
ui.effect.poisonEffect.desc	Результат попадания в организм ядовитого вещества						
ui.effect.gavaahAddiction.caption	Гаввах-зависимость						
ui.effect.gavaahAddiction.desc	Усиливает К-морфозные события и вызывает галлюцинации						
ui.effect.morphineAddiction.caption	Наркозависимость						
ui.effect.morphineAddiction.desc	Наркотическая зависимость снижает все показатели						
ui.effect.alcoholAddiction.caption	Алкогольная зависимость						
ui.effect.alcoholAddiction.desc	Еще по одной, кому от этого хуже-то будет?						
ui.effect.nicotineAddiction.caption	Никотиновая зависимость						
ui.effect.nicotineAddiction.desc	Постоянно хочется отвлечься на сигарету						
ui.effect.coldEffect.caption	Гипотермия						
ui.effect.coldEffect.desc	Очень холодно						
ui.effect.beamEffect.caption	Лучевая Болезнь						
ui.effect.beamEffect.desc	Результат воздействия на организм ионизирующей радиации						
ui.effect.shockEffect.caption	Шок						
ui.effect.shockEffect.desc	Соблюдайте правила безопасности при работе с электрическим током						
ui.effect.starvation.desc	Сильный голод наносит урон здоровью						
ui.effect.drunk.caption	Опьянение						
ui.effect.drunk.desc	Отравление этиловым спиртом приводит к рассеиванию внимания, замедлению реакций и снижению координации движений.						
ui.effect.drunk.value	{0} точность						
ui.effect.rampupshoteffect.caption	Темп стрельбы						
ui.effect.rampupshoteffect.desc	Каждый сделанный подряд выстрел увеличивает скорострельность.						
ui.effect.rampupshoteffect.value	{0} доп. снаряда						
ui.effect.mutation.desc	Превращение в Барона						
spaceobject.mercury.name	Меркурий						
spaceobject.mercury.orbitname	Орбита Меркурия						
spaceobject.mercury.desc	В 2150-х годах на Меркурий было доставлено <color=#FFFEC1>терраформирующее оборудование</color>. Удивительно быстро удалось насытить атмосферу кислородом и азотом, а также удалить ядовитые газы. Однако жизнь на поверхности Меркурия невозможна, на это никто и не надеялся. На поверхности функционируют <color=#FFFEC1>автоматические станции</color>.<br><br>И все же люди присутствуют на планете. Внутри <color=#FFFEC1>горных массивов</color> и достаточно глубоко под землей удалось создать <color=#FFFEC1>подземные колонии</color>, изолированные от температурных условий поверхности.						
spaceobject.mercury.shortdesc	Планета с условиями, достаточными для жизни под землей.<br>Начало освоения: 2110-е.<br>Основной вклад в терраформирование: нет, планета терраформируется стихийно.						
spaceobject.venus.name	Венера						
spaceobject.venus.orbitname	Орбита Венеры						
spaceobject.venus.desc	В конце XXI века вся мощь нескольких корпораций была направлена на интенсивное <color=#FFFEC1>терраформирование планеты</color>. Были предприняты: бомбардировка ледяными глыбами, инфицирование почвы ГМ-бактериями, засеивание ГМ-семян, а затем и заселение ГМ-животных (в основном, насекомых и пауков). <color=#FFFEC1>Процесс терраформирования</color> на Венере длился <color=#FFFEC1>70 лет</color>, и люди контролировали его далеко не на каждом этапе. Например, верхние слои атмосферы стали токсичным парником, под которым росли джунгли, а ядовитые болота еще опоясывают планету по экватору.<br><br>Несмотря на все это, Венера сейчас — наиболее пригодная для жизни планета после Земли.						
spaceobject.venus.shortdesc	Терраформированная планета, покрытая ГМО-джунглями.<br>Начало освоения: 2080-е.<br>Основной вклад в терраформирование: Фреско.						
spaceobject.earth.name	Земля						
spaceobject.earth.orbitname	Орбита Земли						
spaceobject.earth.desc	Земля — экологический и аграрный рай человечества. По информации от <color=#FFFEC1>СБН</color> Землю населяет 4 миллиарда человек. После строительства <color=#FFFEC1>Интерсити</color> на <color=#FFFEC1>Марсе</color> и <color=#FFFEC1>Нового Сиэттла</color> на <color=#FFFEC1>Луне</color> на планете действует <color=#FFFEC1>режим интердикта</color>. Информационный барьер также установлен. Весь поток данных маршрутизируется через <color=#FFFEC1>ПИС</color>. По всей видимости, СБН проверяет исходящие данные с Земли. По этой причине историям о рае верят далеко не все.<br><br><color=#FFFEC1>Режим интердикта:</color> посещение Земли разрешено только сотрудникам тех корпораций, у которых здесь есть собственность.						
spaceobject.earth.shortdesc	Колыбель человечества, закрытая для свободного посещения.<br>Режим интердикта: активен.<br>Экологический статус: стабилен.						
spaceobject.moon.name	Луна						
spaceobject.moon.orbitname	Орбита Луны						
spaceobject.moon.desc	Спутник Земли, на котором добывают <color=#FFFEC1>гелий-3</color> и производят из него <color=#FFFEC1>квантовую жидкость Г-3</color> — топливо для <color=#FFFEC1>кубацентрических двигателей</color>. На Луне есть герметичный мегаполис <color=#FFFEC1>Новый Сиэттл</color>, в котором располагаются штабы и другие здания огромного числа корпораций. Отдельного упоминания заслуживает комплекс «Источник», внутри которого размещены серверы с актуальным текстом <color=#FFFEC1>НКЭ</color> и других документов, которые можно назвать конституцией <color=#FFFEC1>анкап-системы</color>.<br><br>В каком-то смысле, Новый Сиэттл, гигантский сверкающий город под куполом, засыпанным лунным грунтом для защиты от радиации — сердце анкап-системы. По мнению жителей Луны,<color=#FFFEC1>Земля</color> — скучная старая планета. А вот в стальных, пластиковых и стеклянных конструкциях Нового Сиэттла кипит жизнь, движимая жаждой прибыли и стремлением к свободе.						
spaceobject.moon.shortdesc	Естественный спутник Земли, заселен людьми в укрытых от радиации колониях.<br>Основной вклад в освоение: ПлэнетБридж, Грассхоппер Текнолоджис.<br>Крупнейший и единственный город: Новый Сиэттл.						
spaceobject.fuller.name	Фуллер 						
spaceobject.fuller.orbitname	Орбита Фуллера						
spaceobject.fuller.desc	Искусственный спутник Луны. Он вращается по <color=#FFFEC1>геостационарной орбите</color> и постоянно находится <color=#FFFEC1>над Морем дождей</color>. Спутник назван в честь <color=#FFFEC1>Ричарда Бакминстера Фуллера</color> — выдающегося архитектора, дизайнера, инженера, изобретателя, философа, математика, писателя и поэта. И, главное, безнадежного утописта, чьи идеи не имели шанса на воплощение под гнетом государств. Освобождение, дарованное людям <color=#FFFEC1>Великой Анархической Революцией</color>, сделало возможным реализацию многих идей Фуллера. Этот искусственный спутник из пяти модулей-станций, связанных между собой инженерными конструкциями — мечта гения, ставшая явью.<br><br>Когда над Морем дождей восходит Солнце, Фуллер отражает его свет, словно говоря от имени человечества: «Мы идем вперед! Мы строим будущее!»						
spaceobject.fuller.shortdesc	Искусственный спутник Луны, космический городской комплекс.<br>Высота над Луной: 400 Мм.<br>Год создания: 2145.<br>Создатели: Дильтей, Грассхоппер Текнолоджис.						
spaceobject.mars.name	Марс						
spaceobject.mars.orbitname	Орбита Марса						
spaceobject.mars.desc	Марс должен был быть <color=#FFFEC1>терраформирован</color> раньше <color=#FFFEC1>Венеры</color>, однако солнечный ветер очень быстро сдувал с Марса любую атмосферу. Все усилия людей свелись к поддержанию поверхности в состоянии холодной пустыни с островками ГМО-тундры ближе к экватору. Приемлемый уровень кислорода и возможность жить без скафандров все же мотивирует людей осваивать Марс. По всей поверхности разбросаны отдельные базы корпораций, напоминающие <color=#FFFEC1>бумтауны</color> времен Дикого Запада. Единственный крупный город на планете — <color=#FFFEC1>Интерсити</color>.<br><br>Он был построен еще до <color=#FFFEC1>Великой Анархической Революции</color> (<color=#FFFEC1>ВАР</color>). Он сильно пострадал и до сих пор не восстановлен до конца. Интерсити — холодные трущобы, над которыми возвышаются редкие корпоративные здания, словно маяки в океане бедности.						
spaceobject.mars.shortdesc	Терраформированная планета, покрытая недружелюбной холодной пустыней.<br>Начало освоения: 2040-е.<br>Основной вклад в терраформирование: РеалВейр, КорВард ПГ и незначительный вклад со стороны старых государств Земли.						
spaceobject.phobos.name	Фобос						
spaceobject.phobos.orbitname	Орбита Фобоса						
spaceobject.phobos.desc	<color=#FFFEC1>Марс</color> — провинция по отношению к <color=#FFFEC1>Земле</color>. Фобос и Деймос — захолустье относительно Марса. Фобос — естественный спутник Марса, пересадочная станция на пути во Внешнюю Систему. На его поверхности, испещренной кратерами и трещинами, размещены транспортные узлы, системы складов, добывающая фабрика и даже небольшая колония <color=#FFFEC1>Гипнос-2</color>. Здесь пересекаются интересы множества корпораций и фракций Внешней Системы, чьи агенты не могут себе позволить достаточное прикрытие для проникновения в Интерсити.<br><br>Для Внутренней Системы Фобос слишком космополитичен. И не составляет труда найти здесь вербовщика пиратов <color=#FFFEC1>Освобожденного Пояса</color> или <color=#FFFEC1>Гражданского Сопротивления</color>.						
spaceobject.phobos.shortdesc	Естественный спутник Марса, пересадочная станция на пути во Внешнюю Систему.<br>Начало освоения: 2050-е.<br>Основной вклад в освоение: РеалВейр, Грассхоппер Текнолоджис.<br>Статус безопасности: не вполне безопасен.						
spaceobject.deimos.name	Деймос						
spaceobject.deimos.orbitname	Орбита Деймоса						
spaceobject.deimos.desc	<color=#FFFEC1>Марс</color> — провинция по отношению к <color=#FFFEC1>Земле</color>. Фобос и Деймос — провинции по отношению к Марсу. Деймос — естественный спутник Марса, теневой порт на границе Внутренней Системы. Здесь можно встретить не только пиратов и других <color=#FFFEC1>врагов народа</color>, но и корпоративных агентов, которые желают внедриться во фракции Внешней Системы. Деймос не просто «кузница зла». Здесь, укрытые от ока корпораций, рождаются новые независимые идеи.<br><br>Деймос как поджидающий жертву паук: тихий, незаметный, опасный. В будущем, его яд вполне способен навредить Внутренней Системе.						
