	English	Russian	German	Frenсh	Spanish	Polish	Turkish	BrazilianPortugal	Korean	Japanese	ChineseSimp
spaceobject.jupiter.name	Jupiter	Юпитер	Jupiter	Jupiter	Júpiter	Jowisz	Jüpiter	Júpiter	목성	木星	木星
spaceobject.jupiter.orbitname	Jupiter's Orbit	Орбита Юпитера	Orbit von Jupiter	Orbite de Jupiter	Órbita de Júpiter	Orbita Jowisza	Jüpiter'in Yörüngesi	Órbita de Júpiter	목성 궤도	木星の軌道	木星轨道
spaceobject.jupiter.desc	The largest planet in the solar system, the fifth in distance from the sun. Along with Saturn, Jupiter is classified as a gas giant. The planet has been known to people since ancient times, which is reflected in the mythology and religious beliefs of various cultures: Mesopotamian, Babylonian, Greek and others. The modern name of Jupiter comes from the name of the ancient Roman supreme god of thunder.	Газовый гигант, крупнейшая планета Солнечной Системы, пятая по удаленности от Солнца. Планета была известна людям с глубокой древности, что нашло свое отражение в мифологии и религиозных верованиях различных культур: месопотамской, вавилонской, греческой и других. Современное название Юпитера происходит от имени древнеримского верховного бога-громовержца.	Der größte Planet im Sonnensystem, der fünfte in der Entfernung von der Sonne. Zusammen mit Saturn gilt Jupiter als Gasriese. Der Planet ist den Menschen seit der Antike bekannt, was sich in der Mythologie und dem religiösen Glauben verschiedener Kulturen widerspiegelt: Mesopotamien, Babylon, die alten Griechen und viele anderen. Der moderne Name Jupiters leitet sich vom Namen des antiken römischen Donnergottes ab.					O maior planeta do sistema solar, o quinto em distância do Sol. Juntamente com Saturno, Júpiter é classificado como um gigante gasoso. O planeta é conhecido pelos povos desde a antiguidade, o que se reflecte na mitologia e nas crenças religiosas de várias culturas: Mesopotâmica, Babilônica, Grega e outras. O nome moderno de Júpiter deriva do nome do antigo deus romano supremo do trovão.	태양계에서 가장 큰 행성이자 태양으로부터 5번째에 위치한 행성입나다. 토성과 함께 목성은 거대 기체 행성으로 분류됩니다. 메트로폴리스, 바빌로니아, 그리스 등 여러 고대 문명들의 신화나 종교에 나타나는 것으로 고대부터 사람들에게 그 존재가 알려져 있었다는 사실을 알 수 있습니다. 현재 목성의 이름인 'Jupiter'는 그리스 로마 신화에서 신들의 왕이자 천둥의 신인 '유피테르'에서 기원된 것입니다.	太陽系最大の惑星で、内側から5番目に位置し、土星とともにガス惑星に分類される。この惑星は古代から人々に知られており、それは様々な文化の神話や宗教的信仰に反映されている： メソポタミア、バビロニア、ギリシャなど。木星(Jupiter)という現代の名前は、古代ローマの雷の最高神の名前に由来している。	
spaceobject.io.name	Io	Ио	Io	Io	Io	Io	İo	Io	이오	イオ	木卫一
spaceobject.io.orbitname	Orbit of Io	Орбита Ио	Orbit von Io	Orbite de Io	Órbita de Io	Orbita Io	İo'nun Yörüngesi	Órbita de Io	이오 궤도	イオの軌道	木卫一轨道
spaceobject.io.desc	A moon of Jupiter, the closest of the four Galilean moons to the planet. Named in honor of the mythological Io - the priestess of Hera and the beloved of Zeus. It has a diameter of 3642 km, which makes it the fourth largest satellite in the solar system.	Спутник Юпитера, самый близкий к планете из четырех галилеевых спутников. Назван в честь мифологической Ио — жрицы Геры и возлюбленной Зевса. Имеет диаметр 3642 км, что делает его четвертым по величине спутником в Солнечной Системе.	Ein Mond Jupiters, der nächste der vier galiläischen Monde zum Planeten. In der Mythologie benannt nach der Priesterin von Hera und der Gelibten von Zeus. Er hat einen Durchmesser von 3642 km und ist damit der viertgrößte Satellit im Sonnensystem.					Uma lua de Júpiter, a mais próxima das quatro luas galileanas do planeta. O seu nome é uma homenagem à mitológica Io - a sacerdotisa de Hera e a amada de Zeus. Tem um diâmetro de 3642 km, o que faz dela o quarto maior satélite do sistema solar.		木星に最も近いガリレオ衛星。ヘラの巫女でゼウスに愛された神話のイオにちなんで名付けられた。直径は3642kmで、太陽系で4番目に大きい衛星である。	
spaceobject.europa.name	Europa	Европа	Europa	Europe	Europa	Europa	Europa	Europa	에우로페	エウロパ	木卫二
spaceobject.europa.orbitname	Orbit of Europe	Орбита Европы	Orbit von Europa	Orbite d'Europe	Órbita de Europa	Orbita Europy	Europa'nın Yörüngesi	Órbita de Europa	에우로페 궤도	エウロパの軌道	木卫二轨道
spaceobject.europa.desc	The sixth-most distant moon of Jupiter, the smallest of the four Galilean moons. Discovered in 1610 by Galileo Galilei and probably by Simon Marius at the same time. Over the centuries, more and more comprehensive observations were made of Europe with the help of telescopes, and, starting from the seventies of the twentieth century, by spacecraft flying near.	Шестой по отдаленности от планеты спутник Юпитера, наименьший из четырех галилеевых спутников. Обнаружена в 1610 году Галилео Галилеем и, вероятно, Симоном Марием. На протяжении столетий за Европой велись все более всесторонние наблюдения при помощи телескопов, а с семидесятых годов двадцатого века — пролетающих вблизи космических аппаратов.	Der kleinste der galliläischen Monde an sechster Stelle in der Entfernung zum Planeten. Entdeckt von gallileo Gallilei 1610 und wahrscheinlich auch von Simon Simarius zur selben Zeit. Über die Jahrzehnte wurden immer mehr Beobachtungen von Europa mit hilfe von Teleskopen gemacht, und ab den Siebzigern des zwanzisgten Jahrhunderts auch mittels nahe fliegender Raumschiffe.					A sexta lua mais distante de Júpiter, a mais pequena das quatro luas galileanas. Descoberta em 1610 por Galileu Galilei e provavelmente por Simão Marius no mesmo período. Ao longo dos séculos, foram feitas observações cada vez mais completas de Europa com a ajuda de telescópios e, a partir dos anos setenta do século XX, por naves espaciais que voavam nas proximidades.		ガリレオ・ガリレイによって1610年に発見された。1610年にガリレオ・ガリレイによって発見され、おそらく同時期にシモン・マリウスによっても発見された。何世紀にもわたり、ヨーロッパでは望遠鏡による観測が行われ、20世紀の70年代からは宇宙船による観測も行われるようになった。	
spaceobject.ganymede.name	Ganymede	Ганимед	Ganymed	Ganymède	Ganimedes	Ganimedes	Ganymede	Ganimedes	가니메데	ガニメデ	木卫三
spaceobject.ganymede.orbitname	Orbit of Ganymede	Орбита Ганимеда	Orbit von Ganymed	Orbite de Ganymède	Órbita de Ganimedes	Orbita Ganimedesa	Ganymede'in Yörüngesi	Órbita de Ganimedes	가니메데 궤도	ガニメデの軌道	木卫三轨道
spaceobject.ganymede.desc	One of the Galilean satellites of Jupiter, the seventh in distance from it among all its satellites and the largest satellite in the solar system. Its diameter is 5268 kilometers, which is 2% larger than that of Titan (the second largest satellite in the solar system) and 8% larger than that of Mercury.	Один из галилеевых спутников Юпитера, крупнейший спутник в Солнечной Системе. Его диаметр равен 5268 километрам, что на 2% больше, чем у Титана (второго по величине спутника в Солнечной Системе) и на 8% больше, чем у Меркурия.						Um dos satélites galileanos de Júpiter, o sétimo em distância de Júpiter entre todos os seus satélites e o maior satélite do sistema solar. O seu diâmetro é de 5268 quilômetros, o que é 2% maior do que o de Titã (o segundo maior satélite do sistema solar) e 8% maior do que o de Mercúrio.		木星のガリレオ衛星のひとつで、木星からの距離は全衛星の中で7番目、太陽系最大の衛星。直径は5268kmで、タイタン（太陽系で2番目に大きい衛星）より2％大きく、水星より8％大きい。	
spaceobject.callisto.name	Calisto	Калисто	Kallisto	Callisto	Calisto	Kallisto	Callisto	Calisto	칼리스토	カリスト	木卫四
spaceobject.callisto.orbitname	Orbit of Calisto	Орбита Калисто	Orbit von Kallisto	Orbite de Callisto	Órbita de Calisto	Orbita Kallisto	Callisto'nun Yörüngesi	Órbita de Calisto	칼리스토 궤도	カリストの軌道	木卫四轨道
spaceobject.callisto.desc	The second largest satellite of Jupiter (after Ganymede), one of the four Galilean satellites and the most distant among them from the planet. It is the third largest moon in the solar system after Ganymede and Titan.	Второй по размеру спутник Юпитера (после Ганимеда), один из четырех галилеевых спутников и самый удаленный среди них от планеты. Является третьим по величине спутником в Солнечной Системе после Ганимеда и Титана.						O segundo maior satélite de Júpiter (depois de Ganimedes), um dos quatro satélites galileanos e o mais distante do planeta. É a terceira maior lua do sistema solar, depois de Ganimedes e Titã.		木星の4つのガリレオ衛星のうち、ガニメデに次いで2番目に大きい衛星。ガニメデ、タイタンに次いで太陽系で3番目に大きい衛星。	
spaceobject.saturn.name	Saturn	Сатурн	Saturn	Saturne	Saturno	Saturn	Satürn	Saturno	토성	土星	土星
spaceobject.saturn.orbitname	Orbit of Saturn	Орбита Сатурна	Orbit von Saturn	Orbite de Saturne	Órbita de Saturno	Orbita Saturna	Satürn'ün Yörüngesi	Órbita de Saturno	토성 궤도	土星の軌道	土星轨道
spaceobject.saturn.desc	The sixth planet in terms of distance from the Sun and the second largest planet in the solar system after Jupiter. Saturn is classified as a gas giant planet. Saturn is named after the Roman god of agriculture.	Шестая планета по удаленности от Солнца и вторая по размерам планета в Солнечной Системе после Юпитера. Сатурн классифицируется как газовая планета-гигант. Сатурн назван в честь римского бога земледелия.						É o sexto planeta em termos de distância ao Sol e o segundo maior planeta do sistema solar depois de Júpiter. Saturno é classificado como um planeta gigante gasoso. O nome de Saturno vem do deus romano da agricultura.		太陽からの距離が6番目の惑星で、木星に次いで太陽系で2番目に大きい惑星。土星はガス惑星に分類される。土星の名はローマ神話の農耕の神にちなむ。	
spaceobject.mimas.name	Mimas	Мимас	Mimas	Mimas	Mimas	Mimas	Mimas	Mimas	미마스	ミマス	土卫一
spaceobject.mimas.orbitname	Orbit of Mimas	Орбита Мимаса	Orbit von Mimas	Orbite de Mimas	Órbita de Mimas	Orbita Mimasa	Mimas'ın Yörüngesi	Órbita de Mimas	미마스 궤도	ミマスの軌道	土卫一轨道
spaceobject.mimas.desc	Satellite of Saturn, discovered September 17, 1789 by William Herschel. Named after Mimas, one of the titans of Greek mythology. Also referred to as Saturn I. With a diameter of 396 kilometers, it is the twentieth largest satellite in the solar system, as well as the smallest known cosmic body that has a rounded shape due to its own gravity.	Спутник Сатурна, открытый 17 сентября 1789 года Уильямом Гершелем. Назван в честь Мимаса — одного из титанов греческой мифологии. Также обозначается как Сатурн I. Имея диаметр 396 километров, является двадцатым по величине спутником в Солнечной Системе, а также самым маленьким известным космическим телом, которое имеет округлую форму из-за собственной гравитации.						Satélite de Saturno, descoberto em 17 de setembro de 1789 por William Herschel. Nomeado em homenagem a Mimas, um dos titãs da mitologia grega. Também conhecido como Saturno I. Com um diâmetro de 396 quilômetros, é o vigésimo maior satélite do sistema solar, bem como o mais pequeno corpo celeste conhecido que tem uma forma arredondada devido à sua própria gravidade.		1789年9月17日、ウィリアム・ハーシェルによって発見された土星の衛星。ギリシャ神話の巨人の一人、ミマスにちなんで名付けられた。直径396kmで、太陽系で20番目に大きい衛星であると同時に、自身の重力によって丸みを帯びた形状を持つ宇宙天体の中では最も小さい。	
spaceobject.enceladus.name	Enceladus	Энцелад	Enceladus	Encélade	Encélado	Enceladus	Enceladus	Encélado	엔셀라두스	エンケラドゥス	土卫二
spaceobject.enceladus.orbitname	Orbit of Enceladus	Орбита Энцелада	Orbit von Enceladus	Orbite d'Encélade	Órbita de Encélado	Orbita Enceladusa	Enceladus'un Yörüngesi	Órbita de Encélado	엔셀라두스 궤도	エンケラドゥスの軌道	土卫二轨道
spaceobject.enceladus.desc	The sixth largest satellite of Saturn and the fourteenth farthest from it among the 82 known satellites. Referred to as Saturn II. It is the seventeenth largest satellite in the solar system. It was discovered in 1789 by William Herschel, but remained little studied until the early 1980s, when two Voyager interplanetary probes approached it.	Шестой по размеру спутник Сатурна и четырнадцатый по удаленности от него среди 82 известных его спутников. Обозначается как Сатурн II. Является семнадцатым по величине спутником в Солнечной Системе. Был открыт в 1789 году Уильямом Гершелем, но оставался малоизученным до начала 1980-х годов, когда с ним сблизились два межпланетных зонда «Вояджер».						O sexto maior satélite de Saturno e o décimo quarto mais longe de Saturno entre os 82 satélites conhecidos. Conhecido como Saturno II. É o décimo sétimo maior satélite do sistema solar. Foi descoberto em 1789 por William Herschel, mas permaneceu pouco estudado até ao início dos anos 80, quando as duas sondas interplanetárias Voyager se aproximaram dele.		土星の6番目に大きく、82個ある衛星の中で土星から14番目に遠い衛星。土星IIと呼ばれる。太陽系で17番目に大きい衛星。1789年にウィリアム・ハーシェルによって発見されたが、1980年代初頭に2機の惑星間探査機ボイジャーが接近するまで、ほとんど研究されていなかった。	
spaceobject.tethys.name	Tethys	Тетис	Tethys	Téthys	Tetis	Tetyda	Tethys	Tétis	테티스	テティス	土卫三
spaceobject.tethys.orbitname	Orbit of Tethys	Орбита Тетиса	Orbit von Tethys	Orbite de Téthys	Órbita de Tetis	Orbita Tetydy	Tethys'in Yörüngesi	Órbita de Tétis	테티스 궤도	テティスの軌道	土卫三轨道
spaceobject.tethys.desc	The fifth largest and most massive moon of Saturn and the fifteenth largest from the planet. This is a medium-sized satellite, its diameter is about 1060 km. Tethys was discovered by Giovanni Cassini in 1684 and was named after one of the Titanides of Greek mythology. The apparent magnitude of Tethys is 10.2.	Пятый по размеру и массе спутник Сатурна и пятнадцатый по удаленности от планеты. Это спутник средней величины, его диаметр составляет около 1060 км. Тефия была открыта Джованни Кассини в 1684 году и получила имя одной из титанид греческой мифологии. Видимая звездная величина Тефии — 10,2.						A quinta maior e mais massiva lua de Saturno e a décima quinta maior do planeta. É um satélite de tamanho médio, com um diâmetro de cerca de 1060 km. Tétis foi descoberto por Giovanni Cassini em 1684 e recebeu o nome de uma das Titânides da mitologia grega. A magnitude aparente de Tétis é 10,2.		土星で5番目に大きく、最も巨大な衛星。中型の衛星で、直径は約1060km。テティスは1684年にジョバンニ・カッシーニによって発見され、ギリシャ神話のティタニデスの一人にちなんで名付けられた。見かけの等級は10.2。	
spaceobject.dione.name	Dione	Диона	Dione	Dioné	Dione	Dione	Dione	Dione	디오네	ディオネ	土卫四
spaceobject.dione.orbitname	Orbit of Dione	Орбита Дионы	Orbit von Dione	Orbite de Dioné	Órbita de Dione	Orbita Dione	Dione'un Yörüngesi	Órbita de Dione	디오네 궤도	ディオネの軌道	土卫四轨道
spaceobject.dione.desc	The fourth largest satellite of Saturn and the fourth farthest from the planet among the seven largest satellites of the latter. It is the fifteenth largest and largest satellite in the solar system.	Четвертый по величине спутник Сатурна и четвертый по удаленности от планеты среди семи наиболее крупных спутников последней. Является пятнадцатым по массе и величине спутником в Солнечной Системе.						O quarto maior satélite de Saturno e o quarto mais distante do planeta entre os sete maiores satélites do mesmo. É o décimo quinto maior e o maior satélite do sistema solar.		土星の4番目に大きな衛星で、土星の7つの衛星の中で土星から4番目にある。太陽系で15番目に大きく、最大の衛星である。	
spaceobject.rhea.name	Rhea	Рея	Rhea	Rhéa	Rea	Rhea	Rhea	Reia	레아	レア	土卫五
spaceobject.rhea.orbitname	Orbit Rhea	Орбита Реи	Orbit von Rhea	Orbite de Rhéa	Órbita de Rea	Orbita Rhei	Rhea'nın Yörüngesi	Órbita de Reia	레아 궤도	レアの軌道	土卫五轨道
spaceobject.rhea.desc											
spaceobject.titan.name	Titanium	Титан	Titan	Titan	Titanio	Tytan	Titan	Titã	타이탄	タイタン	土卫六
spaceobject.titan.orbitname	Orbit of Titan	Орбита Титана	Orbit von Titan	Orbite de Titan	Órbita de Titanio	Orbita Tytana	Titan'ın Yörüngesi	Órbita de Titã	타이탄 궤도	タイタンの軌道	土卫六轨道
spaceobject.titan.desc											
spaceobject.iapetus.name	Iapetus	Япетус	Iapetus	Japet	Jápeto	Japet	İapetus	Iapetus	이아페투스	イアペトス	土卫八
spaceobject.iapetus.orbitname	Orbit of Iapetus	Орбита Япетуса	Orbit von Iapetus	Orbite de Japet	Órbita de Jápeto	Orbita Japeta	İapetus'un Yörüngesi	Órbita de Iapetus	이아페투스 궤도	イアペトスの軌道	土卫八轨道
spaceobject.iapetus.desc											
spaceobject.uranus.name	Uranus	Уран	Uranus	Uranus	Urano	Uran	Uranüs	Urano	천왕성	イアペトゥス	天王星
spaceobject.uranus.orbitname	Orbit of Uranus	Орбита Урана	Orbit von Uranus	Orbite d'Uranus	Órbita de Urano	Orbita Urana	Uranüs'ün Yörüngesi	Órbita de Urano	천왕성 궤도	イアペトゥスの軌道	天王星轨道
spaceobject.uranus.desc											
spaceobject.miranda.name	Miranda	Миранда	Miranda	Miranda	Miranda	Miranda	Miranda	Miranda	미란다	ミランダ	天卫五
spaceobject.miranda.orbitname	Orbit Miranda	Орбита Миранды	Orbit von Miranda	Orbite de Miranda	Órbita de Miranda	Orbita Mirandy	Miranda'nın Yörüngesi	Órbita de Miranda	미란다 궤도	ミランダの軌道	天卫五轨道
spaceobject.miranda.desc											
spaceobject.ariel.name	Ariel	Ариэль	Ariel	Ariel	Ariel	Ariel	Ariel	Ariel	아리엘	アリエル	天卫一
spaceobject.ariel.orbitname	Orbit Ariel	Орбита Ариэль	Orbit von Ariel	Orbite d'Ariel	Órbita de Ariel	Orbita Ariela	Ariel'in Yörüngesi	Órbita de Ariel	아리엘 궤도	アリエルの軌道	天卫一轨道
spaceobject.ariel.desc											
spaceobject.umbriel.name	Umbriel	Умбриэль	Umbriel	Umbriel	Umbriel	Umbriel	Umbriel	Umbriel	움브리엘	ウンブリエル	天卫二
spaceobject.umbriel.orbitname	Orbit Umbriel	Орбита Умбриэль	Orbit von Umbriel	Orbite d'Umbriel	Órbita de Umbriel	Orbita Umbriela	Umbriel'in Yörüngesi	Órbita de Umbriel	움브리엘 궤도	ウンブリエルの軌道	天卫二轨道
spaceobject.umbriel.desc											
spaceobject.titania.name	Titania	Титания	Titania	Titania	Titania	Tytania	Titania	Titânia	타이테니어	チタニア	天卫三
spaceobject.titania.orbitname	Orbit of Titania	Орбита Титании	Orbit von Titania	Orbite de Titania	Órbita de Titania	Orbita Tytanii	Titania'nın Yörüngesi	Órbita de Titânia	타이테니어 궤도	チタニアの軌道	天卫三轨道
spaceobject.titania.desc											
spaceobject.oberon.name	Oberon	Оберон	Oberon	Obéron	Oberón	Oberon	Oberon	Oberon	오베론	オベロン	天卫四
spaceobject.oberon.orbitname	Oberon Orbit	Орбита Оберона	Orbit von Oberon	Orbite d'Obéron	Órbita de Oberón	Orbita Oberona	Oberon'un Yörüngesi	Órbita de Oberon	오베론 궤도	オベロンの軌道	天卫四轨道
spaceobject.oberon.desc											
spaceobject.neptune.name	Neptune	Нептун	Neptun	Neptune	Neptuno	Neptun	Neptün	Netuno	해왕성	海王星	海王星
spaceobject.neptune.orbitname	Orbit of Neptune	Орбита Нептуна	Orbit von Neptun	Orbite de Neptune	Órbita de Neptuno	Orbita Neptuna	Neptün'ün Yörüngesi	Órbita de Netuno	해왕성 궤도	海王星の軌道	海王星轨道
spaceobject.neptune.desc											
spaceobject.triton.name	Triton	Тритон	Triton	Triton	Tritón	Tryton	Triton	Tritão	트리톤	トリトン	海卫一
spaceobject.triton.orbitname	Orbit of Triton	Орбита Тритона	Orbit von Triton	Orbite de Triton	Órbita de Tritón	Orbita Trytona	Triton'un Yörüngesi	Órbita de Tritão	트리톤 궤도	トリトンの軌道	海卫一轨道
spaceobject.triton.desc											
spaceobject.pluto.name	Pluto	Плутон	Pluto	Pluton	Plutón	Pluton	Plüton	Plutão	명왕성	冥王星	冥王星
spaceobject.pluto.orbitname	Pluto's orbit	Орбита Плутона	Orbit von Pluto	Orbite de Pluton	Órbita de Plutón	Orbita Plutona	Plüton'un Yörüngesi	Órbita de Plutão	명왕성 궤도	冥王星の軌道	冥王星轨道
spaceobject.pluto.desc											
spaceobject.volcano.name	Volcano	Вулкан	Vulkan	Vulcain	Volcán	Wulkan	Volkan	Vulcão	화산	火山	火山
spaceobject.volcano.orbitname	Volcano's Orbit	Орбита Вулкана	Vulkanorbit	Orbite de Vulcain	Órbita del Volcán	Orbita Wulkanu	Volkan Yörüngesi	Órbita do Vulcão	화산의 궤도	火山の軌道	火山轨道
spaceobject.volcano.desc	Two heavy interplanetary spacecrafts joined together by a improvised structure. They carry three stations that are changing hands. Volcano orbits Mercury at high altitude.	Два тяжёлых межпланетных корабля соединённых вместе импровизированной конструкцией. На них расположены три станции, переходящие из рук в руки. Вулкан вращается по высокой орбите вокруг Меркурия.	Zwei schwere interplanetarische Schiffe, die durch eine improvisierte Struktur miteinander verbunden sind. Sie tragen drei Stationen, die den Besitzer wechseln. Der Vulkan umkreist den Merkur in großer Höhe.	Deux lourds vaisseaux interplanétaires assemblés par une structure improvisée. Ils transportent trois stations qui changent constamment de propriétaire. Vulcain orbite autour de Mercure à haute altitude.	Dos naves interplanetarias pesadas unidas por una estructura improvisada. Llevan tres estaciones que cambian de manos. El volcán orbita alrededor de Mercurio a gran altitud.	Dwa ciężkie statki międzyplanetarne połączone ze sobą improwizowaną konstrukcją. Przewożą trzy stacje, które zmieniają właścicieli. Wulkan okrąża Merkurego na dużej wysokości.	İki ağır gezegenler arası gemi, birleştirilmiş bir yapı tarafından bir araya getirilmiştir. Üç istasyon taşıyorlar ve bu istasyonlar el değiştiriyor. Yanardağ Merkür'ü yüksek irtifada dolaşıyor.	Dois pesados navios interplanetários unidos por uma estrutura improvisada. Eles carregam três estações que estão trocando de mãos. O vulcão orbita Mercúrio em grande altitude.	임시 구조물로 연결된 두 대형 화성 간 우주선. 손에 넘어가는 세 개의 스테이션이 탑재되어 있습니다. 화산은 수성 주변을 높은 고도에서 공전합니다.	即席構造でつながれた2つの重い惑星間宇宙船。 手中に落ちる3つの基地を運んでいます。 火山は水星を高い高度で公転しています。	两艘由简易结构连接在一起的重型行星间飞船，其之上有三个几易其手的站点。 火山在高空轨道绕水星运行。
spaceobject.citadel.name	Citadel-1	Цитадель-1	Zitadelle-1	Citadelle-1	Ciudadela-1	Twierdza-1	Citadel-1	Cidadela-1	순각-1	シタデル-1	城堡-1
spaceobject.citadel.orbitname	Orbit of Citadel-1	Орбита Цитадели-1	Umlaufbahn der Zitadelle-1	Orbite de Citadelle-1	Órbita de la Ciudadela-1	Orbita Cytadeli-1	Citadel-1 Yörüngesi	Órbita da Cidadela-1	시타델-1의 궤도	シタデル-1の軌道	城堡-1轨道
spaceobject.citadel.desc	Citadel-1 is an artificial satellite of Mercury. The satellite was created from an asteroid. The asteroid was brought onto its current trajectory by some cubecentric engines mounted on it. The mass of the asteroid works as "stiffener" of the ring-shaped residential structure. Four of the five Citadel-1 stations are located in this structure. Gamma Hydra 4 is located inside the asteroid itself.	Цитадель-1 - искусственный спутник Меркурия. Спутник создан из астероида, на который были смонтированы кубацентрические двигатели и он был выведен на свою нынешнюю траекторию. Сама масса астроида работает для создания оси вращения кольцеобразной жилой конструкции. Четыре из пяти станций Цитадели-1 расположены в этой конструкции. Гамма Гидра 4 находится внутри самого астероида.	Die Zitadelle-1 ist ein künstlicher Satellit des Merkurs. Der Satellit wurde aus einem Asteroiden geschaffen. Der Asteroid wurde durch auf ihm montierte würfelzentrische Triebwerke auf seine aktuelle Umlaufbahn gebracht. Die Masse des Asteroiden dient als "Versteifung" der ringförmigen Wohnstruktur. Vier der fünf Stationen der Zitadelle-1 befinden sich in dieser Struktur. Gamma Hydra 4 befindet sich im Inneren des Asteroiden selbst.	Citadelle-1 est un satellite artificiel de Mercure créé à partir d'un astéroïde qui a été placé sur sa trajectoire actuelle par quelques moteurs cubocentriques. La masse de l'astéroïde maintient en orbite la structure résidentielle en forme d'anneau qui l'entoure. Quatre des cinq stations de la Citadelle-1 sont situées dans cette structure. Gamma Hydra 4 est située à l'intérieur de l'astéroïde lui-même.	La Ciudadela-1 es un satélite artificial de Mercurio. El satélite fue creado a partir de un asteroide. El asteroide fue colocado en su trayectoria actual por algunos motores cubocéntricos montados en él. La masa del asteroide sirve como "rigidez" de la estructura residencial en forma de anillo. Cuatro de las cinco estaciones de la Ciudadela-1 están ubicadas en esta estructura. Gamma Hydra 4 está situado dentro del propio asteroide.	Cytadela-1 to sztuczny satelita Merkurego. Satelita został stworzony z asteroidy. Asteroida została wprowadzona na swoją bieżącą trajektorię przez zamontowane na niej silniki kostkowocentryczne. Masa asteroidy pełni rolę "usztywnienia" pierścieniowej struktury mieszkalnej. Cztery z pięciu stacji Cytadeli-1 znajdują się w tej strukturze. Gamma Hydra 4 znajduje się wewnątrz samego asteroidy.	Citadel-1, Merkür'ün yapay uydusudur. Uydu bir asteroidden oluşturulmuştur. Asteroid, üzerine monte edilmiş bazı küp merkezli motorlar sayesinde mevcut yörüngesine getirildi. Asteroidin kütlesi, yuvarlak biçimli konut yapısının "sertleştirici" görevini görüyor. Citadel-1 istasyonlarının beşinden dördü bu yapı içinde bulunmaktadır. Gama Hidra 4 asteroidin içinde bulunmaktadır.	Cidadela-1 é um satélite artificial de Mercúrio. O satélite foi criado a partir de um asteroide. O asteroide foi colocado em sua trajetória atual por alguns motores cubocêntricos montados nele. A massa do asteroide funciona como "rígido" da estrutura residencial em forma de anel. Quatro das cinco estações da Cidadela-1 estão localizadas nesta estrutura. Gamma Hydra 4 está localizado dentro do próprio asteroide.	Citadel-1은 수성의 인공 위성입니다. 위성은 소행성에서 만들어졌습니다. 소행성은 그 위에 장착된 몇 개의 입방 중심 엔진으로 현재 궤도로 이동되었습니다. 소행성의 질량은 고리 모양의 주거 구조의 "지지대"로 작동합니다. 다섯 Citadel-1 중 네 곳이 이 구조 안에 위치해 있습니다. 감마 히드라 4는 소행성 자체 내부에 위치하고 있습니다.	Citadel-1は水星の人工衛星です。この衛星は小惑星から作られました。小惑星はその上に取り付けられた立方体中心のエンジンによって現在の軌道に運ばれました。小惑星の質量は、環状の居住構造の「補強材」として機能します。Citadel-1の5つのステーションのうち4つはこの構造の中にあります。ガンマハイドラ4は小惑星の中に位置しています。	城堡-1是水星的一个人工卫星。其由一个装有立方引擎的小行星上创形成的，然后被带到了当前的轨道位置。小行星本体发挥环形住宅结构的旋转轴的作用。五个城堡站点中有四个位于这个结构之内。伽玛九头蛇4位于小行星内。
spaceobject.havoc.name	HAVOC	ВИЗГ	HAVOC	HAVOC	HAVOC	HAVOC	HAVOC	HAVOC	HAVOC	HAVOC	HAVOC
spaceobject.havoc.orbitname	HAVOC's Orbit	Орбита ВИЗГа	HAVOC-Orbit	Orbite de HAVOC	Órbita de HAVOC	Orbita HAVOC	HAVOC'un Yörüngesi	Órbita do HAVOC	HAVOC의 궤도	HAVOCの軌道	HAVOC轨道
