	English						
ui.dialog.jane_denied	"Translating from corporate to human, Boss. There's definitely something beyond the scope of the geological station's work at Sinkhole Oasis. RealWare will only let us in if they trust us enough. We'll have to do some work for them if we really need to get in there."""						
ui.dialog.jane_sinkhole_visited	This is a peaceful visit, weapons are prohibited. However, RealWare trusts us enough to let us wander around the station in search of something interesting. We've switched Magnum's geoscanner to passive mode to avoid drawing unnecessary attention. So, search the old-fashioned way. Maybe there's a poorly guarded emergency exit or something. Lady Xiomara sent us here for a reason. Be careful, remember that you literally shoved your arm into RealWare's mouth.						
ui.dialog.jane_sinkhole_find_ladder	Yes, this is what we've been looking for. The staircase leads to the inner chambers, and it seems there's no alarm here. We can infiltrate the place relatively unnoticed. However, if you run into any security operatives, they will shoot to kill. Stay cautious and only go down after you're ready for a combat mission.						
ui.dialog.jane_sinkhole_condition	Find the Spear of Tezctlan						
ui.dialog.sinkhole_ladder_denied	The owner of the station will do not like if you use this backdoor. You should better stay in the safety zone.						
ui.dialog.jane_sinkhole_after_ladder	We're utilizing the surprise effect to its fullest. Our techies have hacked into Sinkhole Oasis servers and are overloading its network with information noise. You have some time to figure out what's going on here. Find the spear Lady Xiomara mentioned, and gather any valuable data if possible.						
ui.dialog_jane_see_monolith	What do you see? When you switched to direct actions, we activated the geoscanner. As soon as we scanned the room you're in, it froze up, outputting data that gave our operator a seizure. What on earth is in there? No wonder RealWare is so diligently filtering access to Sinkhole Oasis. Maybe you need to destroy this bloody thing and retrieve the spear from it.						
ui.dialog_jane_attacked_monolith	Well, that was a bad idea. A very bad idea. Firstly, you didn't budge a single atom of this thing with your shot. Secondly, the alarm went off. All armed RealWare security operatives are heading your way. We need some information on this Monolith. Gather it, and we'll get you out.						
ui.dialog_jane_sinkhole_data_taken	Excellent, this data should suffice. We didn't get the spear, but we can plan our next moves. Return to the elevator; we'll figure out a way to get you out. Let's hope for the best.						
ui.dialog.sinkhole_mission_failed	We managed to come up with some excuses, but RealWare still suspects us. Our reputation has been compromised.						
ui.dialog.jane_after_sinkhole	The data we acquired suggests that this entire Monolith is nothing but a phased feature. But first of all, this event occurred about a billion years ago, and secondly, it completely defies the laws of our universe. We're not the first to try breaking it. RealWare has tried every weapon available to them, including a controlled nuclear blast. The result has always been the same - no result. Looks like we have nothing...						
ui.dialog.eipschwitz_after_sinkhole	Exactly. You understand NOTHING! This is a priceless find. The Monolith not only phased into our realm from the bramfatura of Mars, but at the time of phasing, it was something entirely different than just a stone. Your problems won't be solved by anyone other than Dr. Eipshwitz. Since I'm now traveling on your spacecraft, can I finally be considered your employee? Let's get closer to mutually beneficial cooperation. NCE. Freedom to contract. Remember?<br><br>Well, well... I'll need my Telefaturic Dislocator, several boxes of spare parts and repair kits, and I'll need a lab space on the spacecraft and a lab coat... Ah, no. No coat needed. But a couple of handy assistants are.<br><br>Where did I put the Dislocator? You didn't take it back from Mercury? Hm... seems it should still be at Flat Obsidian, in the field camp. We need to evacuate it from there so I can get to work.						
ui.dialog.eipschwitz_see_dislocator	I distinctly remember it standing right here! It was stolen! Those filthy colnodian hands think they have the right to touch my property? This is very fragile and infinitely valuable equipment! Search the whole damn station, it's gotta be here somewhere. I need i… I mean, we need it!						
ui.dialog.eipschwitz_see_dislocator_parts	What?! Barbarians. Vandals. One, two, three, four, ten, sixty-two. The Dislocator was perfectly dismantled into four parts! Four! Even a colnode with one hand and no thumb can count to four! These idiots have destroyed a masterpiece of human thought! They've pushed all modern science back to the Stone Age! I'll have to start development practically from scratch again. So... I need alloys, microchips, nails... Yeah, maybe four or eight this time? We need to consider our previous experience... Yes... Hm...						
ui.dialog.ruins1_realware	Embraced by the mission of the Blood Warriors, from the beginning we know the Realm of Ur, a realm that lies beyond the boundaries of the physical universe. This is our true fatherland. We know Urparp, guardian of the Bright Throne of Gagtungr. To Him we give the glory that comes from our mouth. We also know the created realm. To it we send our curses. We serve the Conqueror Worm, who bestowed the title of Blood Warriors upon us. From the beginning, we remember Him, the father of our spirit, the Ancient Terror for the Manifested Realm. Embraced by the mission of the Blood Warriors, from the beginning we feel Enkidu, rising through us from the bonds of Creation.						
ui.dialog.ruins3_realware	"Warriors! We were born to die on the battlefield. Our flesh is bound in steel to the will of Lord Urparp! Death to the enemies of the Lord!"""						
ui.dialog.ruins3_jane	I'm making a cautious assumption that our invasion of Sinkhole Oasis triggered some mechanisms similar to what we've seen on Venus before... I highly doubt, Boss, that what we are doing will benefit us or humanity.						
ui.dialog.jane_see_dislocator_parts	"I guess the doctor will be incapable of normal human communication for a while. Anyway, let's try to grab anything even remotely resembling ""a true work of art"" and get you out of there. Looks like colnode reinforcements have arrived, so we'll have to fight our way back again."						
ui.dialog.urparp_arise	I've seen things you people wouldn't believe… Myriads of Demons on fire off the shell of Ur… I watched ancient rituals that glitter in the dark near the Red and Gold Throne. All those moments will be lost in time, like specks of dust in the Red Desert… Time to die.						
ui.dialog.urparp_death	I am a god! How can you kill a god? What a magnificent, dizzying innocence! How could you be so naive?! My shackled consciousness is now free, my kingdom is awakening with me. The hour of war is coming, human.						
ui.dialog.jane_after_urparp_death	We lost contact with you precisely for... 48.1 minutes. Whatever you've seen or encountered, we need to evacuate you and the spear. Take it and get back to the elevator.						
ui.dialog.ancom_after_ancom_quest	Greetings, mercenary. We have been monitoring your HIS whenever possible. While evaluating your usefulness, we wanted to be able to contact you immediately. The time has come. You might be interested in another short-term contract. The task is simple: reclaim our property once again. You have shown that you are quite good at it. The mission target: <color=#FFFEC1>Oddibjord-3</color> colony on <color=#FFFEC1>Venus</color>. All the details have already been uploaded to the Magnum. You can start whenever you are ready. End of transmission.						
ui.dialog.jane_after_ancom_hire	Boss, the digital sequences of the contract issued to us by <color=#FFFEC1>AnCom</color> are partially generated or rewritten. If I may say, the contract looks somewhat suspicious. It is likely that the mission is not about reclaiming, but rather seizing someone else’s property. Considering that most of the assets on Venus previously belonged to the <color=#FFFEC1>Fresco</color> corporation, I suspect we are after something from their advanced research. This is a tempting target for many. Thus, we may find ourselves at the center of a conflict among several corporations.						
ui.dialog.caa_jane_after_realware_killed	"These are <color=#FFFEC1>RealWare</color> operatives, Boss. Signatures are disabled, but everything is clear here. I bet they're looking for the same thing that we are. I'll take a long sip from my ""I told you so"" mug while I'll be sending this data to AnCom. Let's see their reaction."						
ui.dialog.ancom_after_realware_killed	We confirm this is a small task force of <color=#FFFEC1>RealWare Sec</color> fighters. Their <color=#FFFEC1>corporate transponders</color> are turned off which means they are not covered by <color=#FFFEC1>NCE</color>. Such episodes among the hexarchs are rare, but this is a good chance to obtain information about the true balance of power in the System.<br><br>To facilitate the fulfillment of the contract we dropped two autonomous capsules with resources and promising prototypes from the Unveiled. A great opportunity for you to complete the mission, and for us to conduct field tests. The main goal of the contract does not change. We don't see anything you can't handle.						
ui.dialog.caa_jane_after_lift_crashed	I detect the signal! You're still alive. The elevator collapsed to the lower level of Oddibjord-3. The device must be <color=#FFFEC1>somewhere nearby</color>. I detect very powerful bursts of quasimorphic activity throughout the entire floor. Looks like you'll have to fight your way out.						
ui.dialog.caa_reaper_onplayers_sight	Why are violence and sanctity so intertwined? Why is death necessary for life to continue? The master warned that someone would come for the <color=#FFFEC1>Crystal Skull</color>. And he even predicted that it would be the messenger of the one thanks to whom he came to life again in your world. I'm not sorry that you decided to turn your weapons against <color=#FFFEC1>the Emerald Emperor</color>. Your blood will give me new power.						
ui.dialog.caa_jane_after_reaper_kill	There must be a quasimorphic artifact nearby. Take it and return to the shuttle. This is exactly what we were sent for. <color=#FFFEC1>RealWare</color> reinforcements are arriving to Oddibjord-3, you need to get out of there quickly.						
ui.dialog.caa_realware_archieve_enter	I broadcast on an open channel. You are good for a mercenary. You should have thought about collaborating with RealWare. AnCom are murderers and scammers. It's too late now. The entire sector is under our control, this time you will be eliminated before the task is completed.						
ui.dialog.caa_realware_communications_enter	Open channel. It's a pleasure doing business with you. Our soldiers have not received such combat experience since the Calypso incident. I hope you're not going to give up. Over and out.						
ui.dialog.caa_jane_player_see_last_ladder	When you'll get to the ground level <color=#FFFEC1>immediately</color> move towards the shuttle. RealWare reinforcements have already taken up defensive positions along the entire perimeter. There are a lot of them there. Pull yourself together and do the best you can.						
ui.dialog.caa_ancom_player_enter_surface	Attention, <color=#FFFEC1>HIS Unveiled</color> is speaking! «Magnum», we have to inform you that the mission has been <color=#FFFEC1>cancelled</color>. Unfortunately, the contractual obligations will be revoked. We observe a large concentration of the enemy in the mission area. A decision was made to launch a tactical nuclear strike. Goal: protection of intellectual property of AnCom corporation. The costs are considered justified. Your presence in Oddibjord-3 from now on is considered a violation of the AnCom Information Security Protocol. Public Declaration Article 12, Section C, Paragraph 3. Over and out.						
ui.dialog.caa_jane_player_enter_surface	Sensors detected the activation of the HIS Unveiled thrusters. This is an AnCom spacecraft in orbit around Venus. The approximation shows reaching the position for dropping the bomb from orbit on Oddibjord-3. They don't have enough time to aim accurately, so you'll be hit only with debris, a shock front, and EMP. Bastards. Run to the shuttle and don't break the damn thing.						
ui.dialog.manifesto_agent_contact_trigger	Greetings, comrade. You have been active throughout the Solar System lately. It was simply impossible not to notice you. Also we have noticed that you are not averse to working for the benefit of the working people. So let's cooperate! My name is <color=#FFFEC1>Issachar</color>, I am the commander of the <color=#FFFEC1>Civil Resistance</color> in the <color=#FFFEC1>Inner System</color>. And I offer you a job.<br><br>My <color=#FFFEC1>colnodes</color> have infiltrated in the most unexpected assets of the Inner System. Including the orbit of <color=#FFFEC1>Earth</color>. I've managed to obtain data for faking the SBN transponder. It will allow you to get close to the <color=#FFFEC1>Heritage</color> station.<br><br>Our agent <color=#FFFEC1>Justas</color> will be waiting for you at the station, take the <color=#FFFEC1>Red Chip</color> from him. This is a special generative virus, the task of which is to transmit a counter-revolutionary message to all people of the System, and then... to deprive the corporate oppressors of the means of communication. Let's shut the mouths of the enemies of the working class!						
ui.dialog.manifesto_jane_on_arrive	We've been spotted. Now all the PMC spacecrafts in the area have received the promise of a huge reward for your elimination. And many have responded kind. The mission is starting to look like our usual work. Find <color=#FFFEC1>Justas</color>, take the <color=#FFFEC1>Red Chip</color>, and make your way to the server.						
ui.dialog.manifesto_jane_ustas_found	It seems that <color=#FFFEC1>Justas</color> has been exposed, which is what caused the alarm. This does not affect our mission. Take <color=#FFFEC1>the Chip</color> to unlock the elevator.						
ui.dialog.manifesto_jane_chip_taken	The <color=#FFFEC1>Red Chip</color> has to be plugged in the <color=#FFFEC1>mainframe</color>. I hope the Civil Resistance programmers did their job well. The elevator is unlocked, get going.						
ui.dialog.manifesto_jane_elevator_blocked	The alarm is blocking the elevator. We need to <color=#FFFEC1>find Justas</color>, he should have high access.						
ui.dialog.manifesto_jane_computer_center	The SBN has doubled the reward. Of course, our colleagues who were still on the sidelines will not miss such a chance. In addition to them, an operational group of <color=#FFFEC1>SBN Security Service</color> is heading your way. Pull yourself together, it's going to get rough.						
ui.dialog.manifesto_jane_first_elite_killed	One of the squads has been successfully eliminated, but don't relax. I'm picking up another group on sensors.						
ui.dialog.manifesto_jane_second_elite_killed	Oh, that's good. Should be a little easier now. The SBN will probably concentrate their best units in the <color=#FFFEC1>server room</color>.						
ui.dialog.manifesto_jane_control_room	The mainframe is very close. I'm afraid you'll have to fight your way through crowds of SBN operatives to get out.						
ui.dialog.manifesto_cres_contact_chip_used	The mainframe turned out to be more secured than I expected. You will have to <color=#FFFEC1>protect it</color> until the virus breaks through the defenses.						
ui.dialog.manifesto_jane_chip_used	What the hell! The elevator is blocked again. You won't get out of here until the virus has dealt with the computer.						
ui.dialog.manifesto_jane_mainframe_no_chip	You need the <color=#FFFEC1>Chip with the virus</color>, don't waste time!						
ui.dialog.manifesto_cres_contact_event_ended	Comrades! It is time to stand up to our oppressors! The corporations will feel the wrath of the working people! We, the workers, are the only ones who sweat and bleed for the good of humanity. The only ones who can turn matter into something. We are the <color=#FFFEC1>Templars of the proletariat</color>! We give ourselves for the great purpose. For the sake of transforming the world from a state of chaos into a place for people to live! Without us, there will be no peace for those who oppress us to enjoy!<br><br>We fought during the <color=#FFFEC1>Great Anarchist Revolution</color> on both sides of the barricades. We trudged through the black mud of the Earth, our flesh was torn from our bones by the dust storms of Mars. And all this not for awards or glory. Only for the just cause that each of us believes in. When the states fell, what did the new order give us? Instead of the promised liberation, we were faced with new slavery.<br><br>But no one managed to break us! Listen to our message! Kill the nearest manager, seize the shuttle and go to the nearest Civil Resistance station! Do everything in your power. Let the Solar System be engulfed in the sacred fire of counterrevolution!						
ui.dialog.manifesto_jane_event_ended	What pretentious nonsense... But I suppose it's a success. All station systems are unlocked, and we can <color=#FFFEC1>evacuate</color> you according to standard protocol.						
ui.dialog.manifesto_cres_contact_after_completed	The immune response of the <color=#FFFEC1>SBN Network</color> was stronger than we expected. However, our virus has <color=#FFFEC1>evolved</color>. People all over the Solar System will now receive <color=#FFFEC1>our callings</color>. It will take the SBN years to catch it.<br><br>And one more thing, comrade. Earth no longer seems like an invulnerable sacred cow to anyone. The fires of a <color=#FFFEC1>new war</color> are about to flare in its orbit. Thank you.						
ui.dialog.return_ancom_data.Tezctlan2	You continue to serve me. This is the right choice. New gifts that will give me new knowledge about the solid realm. The ruler of the Emerald Empire will remember you.						
ui.dialog.poisontrial_tezctlan_after_ancom_quest	You awakened me, you believed in me. You gave me information about my enemies in the solid realm. You have earned my attention. But you are but a mortal, leading other mortals into battles. You must prove yourself worthy of taking a place in the ranks of the <color=#FFFEC1>Emerald Empire</color> army. The Great and Accepted Poison Knight <color=#FFFEC1>Ilhutl</color>, one of my servants, is now on Venus. He will be waiting for you in the <color=#FFFEC1>Feathered Temple</color>. Defeat him, and I will make a pact with you. You will become one of the commanders of the Emerald Empire and gain power commensurate with my generosity.						
ui.dialog.poisontrial_ilhutl_after_spawn	It doesn't matter how many clones you send here. I will drink gavvakh from each one. The warriors of <color=#FFFEC1>Gannix</color> will witness our battle. You will not serve the <color=#FFFEC1>Master</color>!						
ui.dialog.poisontrial_tezctlan_after_first_death	I ordered you to <color=#FFFEC1>defeat</color> Ilhutl. <color=#FFFEC1>Ilhutl is not defeated</color>. Fight until you do it <color=#FFFEC1>truly</color>.<br><br>And to make it more interesting for me to watch, I allow my warriors to fight on Ilhutl's side.						
ui.dialog.poisontrial_ilhutl_rnd1	That is not dead which can eternal lie, fool.						
ui.dialog.poisontrial_ilhutl_rnd2	Do you think Tezctlan sent you to prove your strength? You are merely a sacrifice for <color=#FFFEC1>me</color>.						
ui.dialog.poisontrial_ilhutl_rnd3	People's dreams of power are such fertile soil for the seeds of suffering.						
ui.dialog.poisontrial_ilhutl_rnd4	You cannot defeat me. Your world was ready for my coming. It accepted me as it once accepted my Master.						
ui.dialog.poisontrial_ilhutl_rnd5	I hope, clone, your Boss <color=#FFFEC1>will send me another one</color>.						
ui.dialog.poisontrial_jane_after_first_monolith	I detected a huge energy surge. Analyzing...<br><br>There are <color=#FFFEC1>five</color> of such monoliths in the Feathered Temple. Well, four already. It looks like they are the ones that are <color=#FFFEC1>keeping Ilhutl in the physical world</color>.						
ui.dialog.poisontrial_jane_after_all_monoliths	Sensors are registering a drop in quasimorphic energy. Now we can complete the mission. <color=#FFFEC1>Find and destroy Ilhutl</color>.						
ui.dialog.poisontrial_ilhutl_after_defeat	Impossible. The Master promised…						
ui.dialog.poisontrial_tezctlan_after_defeat	You have proven that you have skill and dignity. I will decide the future of Ilhutl myself.<br><br>The <color=#FFFEC1>Pact</color> of Eternal Service to the <color=#FFFEC1>Emerald Empire</color> has already been sent to your spacecraft. Serve me faithfully, and your eyes will reflect a green glow. Disappoint me, and you will envy the dead.						
ui.dialog.return_ancom_data.RealWare2	What is this? New information about AnCom? This is always interesting. You made the right choice to bring the data to us. There is no better arbiter of the ancap system than RealWare. We will contact you if your services are needed.						
ui.dialog.covertops_realware_after_ancom_quest	Greetings, mercenary! Some time ago, you gave us some very interesting information about <color=#FFFEC1>AnCom</color>. I believe that you chose us for a reason. <color=#FFFEC1>RealWare</color> is the only corporation that guards the interests of the <color=#FFFEC1>ancap system</color>. We are its true defenders.<br><br>It turns out that AnCom has made great strides in quasimorphic research. According to information from the PCPU, we are not even talking about decades of research there. To delve so deeply into quasimorphosis, one would have to start long before the <color=#FFFEC1>Great Anarchic Revolution</color>. Now I understand why <color=#FFFEC1>Doctor Manning</color> is considered a genius. He had a very good start.<br><br>We gave you the data to hack a PCPU. Perform any <color=#FFFEC1>Espionage mission</color> for AnCom, hack their device, and we'll get into their closed network. Let's find out what AnCom really is.						
ui.dialog.covertops_realware_after_espionage	Good job! The hacked PCPU is transmitting data to us from the closed <color=#FFFEC1>AnCom</color> network. It will take several months to sort out the data. But we already see a direct threat to order in the Solar System. AnCom is trying to hack the algorithm of the <color=#FFFEC1>RealWare Corporation combat AI</color>. <color=#FFFEC1>Our</color> combat AI.<br><br>We don’t yet know why and how they want to use it, but we can’t allow it. The AnCom analytical center, which collects information about the AI, is located at the <color=#FFFEC1>Humankinds's Hope Citadel</color> on the <color=#FFFEC1>Pallas</color> asteroid. We offer you a contract: get to the station’s data center and activate the <color=#FFFEC1>EMP-Scorcher</color> there. We've transfered it to your spacecraft. And check how it works at the same time.<br><br>AnCom's property will not be harmed, and if they try to accuse someone of damaging the data, they will have to say what kind of data it was. They will not do that.						
ui.dialog.covertops_jane_on_arrival	The station is very old. Most levels are connected by stairs. Elevators can help you shorten the way to the data center, but rest assured, <color=#FFFEC1>AnCom</color> will take care of the elevator exits first.						
ui.dialog.covertops_ancom_entering_living_stage	This is AnCom speaking. We demand that the clone be recalled immediately, otherwise we will be forced to take <color=#FFFEC1>emergency measures</color>. The demand will not be repeated.						
ui.dialog.covertops_ancom_entering_data_center	Attention station personnel! <color=#FFFEC1>Morphoprotection<color=#FFFEC1> is disabled. Everyone, apply counter-quasimorphic measures.						
ui.dialog.covertops_jane_entering_data_center	Turns out it's not as easy as we thought. You should hurry!						
ui.dialog.covertops_jane_target_room_no_emp	Wait, you don't have the <color=#FFFEC1>EMP-Scorcher</color>! Without it, we can't disable the station's systems. You need to go back and find the device, or the mission will fail.						
ui.dialog.covertops_jane_target_room	Great, you're here. Set up the <color=#FFFEC1>EMP-Scorcher</color> near the computers.						
ui.dialog.covertops_jane_emp_activated	<color=#FFFEC1>EMP-Scorcher</color> was activated. Looks like all the computers on the station are now dead. If AnCom doesn't have backups, we've pretty much knocked them back. Mission accomplished. Get out of there... and your equipment is fried, too, <color=#FFFEC1>map is inaccessible</color>. You'll have to go in blind.						
ui.dialog.raid_sbn_after_ancom_quest	Some time ago, you've handed over an <color=#FFFEC1>AnCom Corporation PCPU</color>, filled to the brim with <color=#FFFEC1>quasimorphic research</color> to us. Studying it helped fill in some gaps in the chain of events that led to the emergence of <color=#FFFEC1>Tezctlan</color>. Let's not try to keep a poker face. We know what's going on on <color=#FFFEC1>Venus</color> and beyond.<br><br>Believe me, AnCom bears a huge share of the responsibility for what's happening. In fact, they deceived you. That's why we turned to you. We believe that you can be trusted with the mission against AnCom.<br><br>Are you familiar with <color=#FFFEC1>Dr. Manning</color>? He had an assistant, <color=#FFFEC1>Dr. Gendiosa</color>. We really need to talk to her. After the events at <color=#FFFEC1>Frantseva-7</color> station near Saturn, she is hiding in the <color=#FFFEC1>Schwerin</color> city on <color=#FFFEC1>Geist</color>. We are not sure that our agents will be able to complete the mission, so we ask you to get to Gendiosa, convince the doctor to go with you, and bring her to us.						
ui.dialog.raid_jane_on_arrival	We are here. So far, everything is calm. Find the <color=#FFFEC1>doctor</color> and return without unnecessary adventures.						
ui.dialog.raid_unchainedbelt_entering_sector	Hey, hey, people! Residents of LL Sector! I speak on behalf of the Pirate Union, to whom your wonderful city provides convenient docking. A <color=#FFFEC1>cockroach</color> has just entered your sector. I will send a mark to your PCPUs. For <color=#FFFEC1>its murder</color>, I promise you such a reward that you will definitely not have to think about work for the next year.<br><br>Good hunting!						
ui.dialog.raid_jane_entering_sector	That was said over the station's public address system, did I hear right? Okay, the job is getting tougher. Boss, did you arm the operative properly?						
ui.dialog.raid_doctor_after_meeting	<color=#FFFEC1>Manning</color> warned me that sooner or later you would show up. I've already packed my things, let's go.						
ui.dialog.raid_jane_doctor_dead	Everyone in Schwerin has grabbed their weapons and are moving towards you. This is a <color=#FFFEC1>failure</color>, we are leaving.						
ui.dialog.raid_jane_sbn_arrival	<color=#FFFEC1>Station Security</color> finally noticed that half of the station is going nuts. They sent operatives to LL Sector. Let me check the order now... Yeah, kill everyone indiscriminately, turn the sector into a demilitarized zone. <color=#FFFEC1>Get out</color> of here quickly, don't forget <color=#FFFEC1>the professor</color>.						
ui.dialog.raid_jane_lift_doctor_nearby	You've arrived. I'm unlocking the private dock, the pilot has already turned on the engines.						
ui.dialog.raid_jane_lift_no_doctor	We can't evacuate you <color=#FFFEC1>without the target</color>. Bring her over.						
ui.dialog.ghoulship_unchainedbelt_contact	This is <color=#FFFEC1>Unchained Belt</color> speaking. Accept the transmission...<br><br>I see you've got a knack for ruining relationships with the bigwigs of the corporate world. Ever since that cute little beastie threw a party on Venus, you've done a lot to make the ancap system look at you with suspicion. Yes, we know about Tezctlan. We know it's not a fake. We have eyes in the Inner System, too.<br><br>In short, we need a contractor like you. For certain reasons, we don't want to take direct actions against corporations that have an active interest in the Belt. After all, we all share these rocks together. It's not time to upset the delicate balance yet, but it's a nice thing to tweak a few things. Your target is <color=#FFFEC1>CoreWard MG</color>. You'll attack and capture their <color=#FFFEC1>HIS Woodpecker</color> in orbit around Vesta, and then send it to orbit around Interamnia. Of course, the ship will have to be refueled first. This is not a problem if you provide our guys with access to the engine level.<br><br>For you, a well-paid job, for us - a new valuable asset. And for the Belt - a small increase in tension instead of a full-fledged war. Is there any reason to refuse such a contract?						
	Ici le <color=#FFFEC1>Unchained Belt</color>. Accepte la transmission...<br><br>Je vois que tu as un certain talent pour te brouiller avec les pontes du monde corporatif. Depuis que cette petite bête mignonne a fait la fête sur Vénus, tu as fait beaucoup pour que le système ancap te regarde avec suspicion. Oui, nous savons pour Tezctlan. Nous savons que ce n'est pas un faux. Nous avons aussi des yeux dans le Système Intérieur.<br><br>En résumé, nous avons besoin d'un contractant comme toi. Pour certaines raisons, nous ne voulons pas prendre de mesures directes contre les entreprises qui ont un intérêt actif dans la Ceinture. Après tout, nous partageons tous ces rochers ensemble. Ce n'est pas encore le moment de bouleverser l'équilibre délicat, mais c'est agréable de pouvoir ajuster quelques détails. Ta cible est <color=#FFFEC1>CoreWard MG</color>. Tu attaqueras et captureras leur <color=#FFFEC1>HIS Woodpecker</color> en orbite autour de Vesta, puis tu l'enverras en orbite autour d'Interamnia. Bien sûr, le vaisseau devra être ravitaillé d'abord. Ce n'est pas un problème si tu fournis à nos gars un accès au niveau des moteurs.<br><br>Pour toi, un travail bien payé, pour nous – un nouvel atout précieux. Et pour la Ceinture – une petite augmentation de la tension au lieu d'une guerre totale. Y a-t-il une raison de refuser un tel contrat?						
	Habla el <color=#FFFEC1>Unchained Belt</color>. Acepta la transmisión...<br><br>Veo que tienes una habilidad especial para arruinar relaciones con los grandes magnates del mundo corporativo. Desde que esa pequeña bestia celebró una fiesta en Venus, has hecho mucho para que el sistema ancap te mire con sospecha. Sí, sabemos sobre Tezctlan. Sabemos que no es un engaño. También tenemos ojos en el Sistema Interno.<br><br>En resumen, necesitamos a un contratista como tú. Por ciertas razones, no queremos tomar medidas directas contra las corporaciones que tienen un interés activo en el Cinturón. Después de todo, todos compartimos estos asteroides. No es el momento de alterar el delicado equilibrio aún, pero sería bueno ajustar algunas cosas. Tu objetivo es <color=#FFFEC1>CoreWard MG</color>. Atacarás y capturarás su <color=#FFFEC1>HIS Woodpecker</color> en órbita alrededor de Vesta, y luego lo enviarás a órbita alrededor de Interamnia. Por supuesto, la nave tendrá que ser repostada primero. Esto no es un problema si proporcionas acceso a nuestros chicos al nivel del motor.<br><br>Para ti, un trabajo bien remunerado; para nosotros, un nuevo activo valioso. Y para el Cinturón, un pequeño aumento de la tensión en lugar de una guerra a gran escala. ¿Hay alguna razón para rechazar tal contrato?						
ui.dialog.ghoulship_jane_on_arrival	A truck from the <color=#FFFEC1>Dilthey</color> corporation is moving nearby at a relatively low speed. I don't know what they want, but if they detect a fuel shuttle, they can transmit this information to the <color=#FFFEC1>HIS Woodpecker</color>. Dilthey are some good Samaritans.						
ui.dialog.ghoulship_jane_cc_no_objectives	You can mop up the entire spacecraft, but the bird <color=#FFFEC1>won't fly</color> while the quantum fuel tanks are <color=#FFFEC1>empty</color> and the armory's security system is <color=#FFFEC1>working</color>. First, clear out these floors.						
ui.dialog.ghoulship_jane_cc_start_defence	Eliminate anyone who might prevent us from taking control of the spacecraft. After that, we'll take the bird to its new nest.						
ui.dialog.ghoulship_jane_cc_cleared	There is nothing else stopping us. Head to <color=#FFFEC1>Interamnia</color>.						
ui.dialog.ghoulship_jane_arsenal_entering	You need to disable the <color=#FFFEC1>security system</color> in the armory. The <color=#FFFEC1>CoreWard MG</color> security team has blocked the spacecraft's control system. Find the mainframe and deal with it... as best you can.						
ui.dialog.ghoulship_jane_arsenal_destroyed	Security system disabled. Spacecraft control unlocked.						
ui.dialog.ghoulship_jane_machine_entering	Receiving encrypted signal from the <color=#FFFEC1>fuel shuttle</color>. They will be ready as soon as you <color=#FFFEC1>clear this level</color>.						
ui.dialog.ghoulship_unchainedbelt_fuel_room	We're heading to the fuel lock. It'll take a while to refuel. The boss asked me to thank you for your part in the <color=#FFFEC1>Unchained Belt</color> case if you make it this far. We've got a few guys here who are eager to fight. We'll drop them on your floor.						
ui.dialog.ghoulship_jane_fuel_room	Protect the engines while the refueling is going.						
ui.dialog.ghoulship_jane_fuel_room_before_arsenal	First you need to destroy the <color=#FFFEC1>mainframe in the Arsenal</color>.						
ui.dialog.ghoulship_coreward_dilthey_arrived	Attention! The sale of HIS Woodpecker to <color=#FFFEC1>Dilthey Corporation</color> has been completed. CoreWard MG disclaims liability for the asset.						
ui.dialog.ghoulship_dilthey_dilthey_arrived	Attention! We ask all unauthorized personnel to leave HIS Woodpecker, it is the private property of the <color=#FFFEC1>Dilthey</color> Corporation. The corporation's <color=#FFFEC1>security officers</color> will be transported here from the nearby cargo spacecraft Nikolaus Otto to ensure the asset's safety.						
ui.dialog.ghoulship_unchainedbelt_dilthey_arrived	We don't care how you planned to build relations with <color=#FFFEC1>Dilthey</color>. The contract must be fulfilled in any case. There is not much time left until the end of the refueling.						
ui.dialog.ghoulship_jane_fuel_is_complete	The pirate tanker has undocked. Make your way to the command floor. Remember that <color=#FFFEC1>Dilthey</color> truck that flew past? It dropped off a whole bunch of <color=#FFFEC1>armed combatants</color>. Good luck.						
ui.dialog.jane_phase_bomb_reminder	You can make a phase bomb. It may be used as an usual grenade, but Eipschwitz did this for something completely different.						
ui.dialog.control_find_objective	The map shows the locations of the objects you need to protect. Go there and wait for the guests.						
ui.dialog.control_find_next_objective	Great job. Move on to the next object.						
ui.dialog.control_defend_objective	Prepare to defend, I have detected enemy signatures. Do not let the customer's property be destroyed.						
ui.dialog.ritual_find_objective	You must go down, find the ritual site, and protect it. Try not to disappoint our employers.						
ui.dialog.ritual_defend_objective	You're almost there. Hurry, the attackers are close.						
ui.dialog.counterattack_find_objective	You're almost there. You need to find the ritual site as soon as possible and stop it!						
ui.dialog.counterattack_remains	Left: {0}						
ui.dialog.escort_after_arrival	The VIP is waiting for you near the shuttle. Escort them to the marked location.						
ui.dialog.jane_capsule_called	An escape pod has been dispatched and should land somewhere nearby.						
ui.dialog.failed_generation	Error! Failed to generate level. Please, send a report through the Main Menu.						
ui.dialog.exit_desc	Do you want to leave your obligations under the PMC contract?						
ui.dialog.slot_delete_desc	You will lose your save. Continue?						
ui.dialog.no_items_raidstart	The operator equipment has not been selected! Do you want to start a mission?						
